run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	138692	3008	229014
0	linear/64/base	cfg	112713	0	0
0	linear/64/base	emission_exclusive	3500875	132901	2319001
0	linear/64/base	serialization	1167369	12094	341915
0	linear/64/base	combined	4919890	148003	2889930
0	linear/64/light	ir	131519	3415	247192
0	linear/64/light	cfg	88507	0	0
0	linear/64/light	emission_exclusive	3688671	147950	2532872
0	linear/64/light	serialization	1182969	12094	341531
0	linear/64/light	combined	5091776	163459	3121595
0	linear/64/heavy	ir	487853	9622	905081
0	linear/64/heavy	cfg	91614	0	0
0	linear/64/heavy	emission_exclusive	10455687	304273	7017602
0	linear/64/heavy	serialization	4151396	12096	1167973
0	linear/64/heavy	combined	15186711	325991	9090656
0	linear/256/base	ir	617419	12035	920903
0	linear/256/base	cfg	1404819	0	0
0	linear/256/base	emission_exclusive	13136048	526712	12403352
0	linear/256/base	serialization	4580338	47424	1346537
0	linear/256/base	combined	19738764	586171	14670792
0	linear/256/light	ir	703973	13656	991497
0	linear/256/light	cfg	1274682	0	0
0	linear/256/light	emission_exclusive	14252813	587752	13275990
0	linear/256/light	serialization	4696718	47424	1345097
0	linear/256/light	combined	20928346	648832	15612584
0	linear/256/heavy	ir	2764772	38488	3624490
0	linear/256/heavy	cfg	1105873	0	0
0	linear/256/heavy	emission_exclusive	40754906	1209433	31175155
0	linear/256/heavy	serialization	16470179	47426	4650931
0	linear/256/heavy	combined	61095880	1295347	39450576
0	linear/1024/base	ir	5899624	48137	3687888
0	linear/1024/base	cfg	22812811	0	0
0	linear/1024/base	emission_exclusive	51913604	2101884	101426946
0	linear/1024/base	serialization	17894524	188738	5365343
0	linear/1024/base	combined	98520843	2338759	110480177
0	linear/1024/light	ir	6814446	54622	3970450
0	linear/1024/light	cfg	21373619	0	0
0	linear/1024/light	emission_exclusive	56793717	2346883	104935712
0	linear/1024/light	serialization	17699876	188738	5359679
0	linear/1024/light	combined	102681918	2590243	114265841
0	linear/1024/heavy	ir	26404519	153950	14502323
0	linear/1024/heavy	cfg	21534232	0	0
0	linear/1024/heavy	emission_exclusive	160581339	4830132	176508472
0	linear/1024/heavy	serialization	64850915	188740	18583081
0	linear/1024/heavy	combined	273371376	5172822	209593876
0	diamond-chain/64/base	ir	132521	3014	230397
0	diamond-chain/64/base	cfg	111381	0	0
0	diamond-chain/64/base	emission_exclusive	5295121	225845	3714034
0	diamond-chain/64/base	serialization	1420037	17982	373065
0	diamond-chain/64/base	combined	6959190	246841	4317496
0	diamond-chain/64/light	ir	129555	3421	248575
0	diamond-chain/64/light	cfg	103456	0	0
0	diamond-chain/64/light	emission_exclusive	5504106	242545	3960954
0	diamond-chain/64/light	serialization	1418715	17982	372681
0	diamond-chain/64/light	combined	7155942	263948	4582210
0	diamond-chain/64/heavy	ir	394026	9628	906464
0	diamond-chain/64/heavy	cfg	101011	0	0
0	diamond-chain/64/heavy	emission_exclusive	14082510	486163	9978456
0	diamond-chain/64/heavy	serialization	4463507	17984	1199123
0	diamond-chain/64/heavy	combined	19041184	513775	12084043
0	diamond-chain/256/base	ir	650761	12045	926798
0	diamond-chain/256/base	cfg	1226340	0	0
0	diamond-chain/256/base	emission_exclusive	20275331	897470	17597948
0	diamond-chain/256/base	serialization	5454913	70976	1471095
0	diamond-chain/256/base	combined	27607466	980491	19995841
0	diamond-chain/256/light	ir	721055	13666	997392
0	diamond-chain/256/light	cfg	1175484	0	0
0	diamond-chain/256/light	emission_exclusive	21639091	965199	18603715
0	diamond-chain/256/light	serialization	5412443	70976	1469655
0	diamond-chain/256/light	combined	28948193	1049841	21070762
0	diamond-chain/256/heavy	ir	2323326	38498	3630385
0	diamond-chain/256/heavy	cfg	1192276	0	0
0	diamond-chain/256/heavy	emission_exclusive	55920897	1938175	42664308
0	diamond-chain/256/heavy	serialization	17124146	70978	4775489
0	diamond-chain/256/heavy	combined	76560805	2047651	51070182
