run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	143081	3008	229014
0	linear/64/base	cfg	120337	0	0
0	linear/64/base	emission_exclusive	3458816	132901	2319001
0	linear/64/base	serialization	1161438	12094	341915
0	linear/64/base	combined	4883922	148003	2889930
0	linear/64/light	ir	131148	3415	247192
0	linear/64/light	cfg	88648	0	0
0	linear/64/light	emission_exclusive	3646881	147950	2532872
0	linear/64/light	serialization	1192187	12094	341531
0	linear/64/light	combined	5058964	163459	3121595
0	linear/64/heavy	ir	485519	9622	905081
0	linear/64/heavy	cfg	88567	0	0
0	linear/64/heavy	emission_exclusive	10369114	304273	7017602
0	linear/64/heavy	serialization	4111190	12096	1167973
0	linear/64/heavy	combined	15054560	325991	9090656
0	linear/256/base	ir	616557	12035	920903
0	linear/256/base	cfg	1423213	0	0
0	linear/256/base	emission_exclusive	13100462	526712	12403352
0	linear/256/base	serialization	4457706	47424	1346537
0	linear/256/base	combined	19598078	586171	14670792
0	linear/256/light	ir	702880	13656	991497
0	linear/256/light	cfg	1294820	0	0
0	linear/256/light	emission_exclusive	14145991	587752	13275990
0	linear/256/light	serialization	4361494	47424	1345097
0	linear/256/light	combined	20505336	648832	15612584
0	linear/256/heavy	ir	2827440	38488	3624490
0	linear/256/heavy	cfg	1121242	0	0
0	linear/256/heavy	emission_exclusive	40156333	1209433	31175155
0	linear/256/heavy	serialization	15663091	47426	4650931
0	linear/256/heavy	combined	59768257	1295347	39450576
0	linear/1024/base	ir	5729803	48137	3687888
0	linear/1024/base	cfg	22902962	0	0
0	linear/1024/base	emission_exclusive	51940625	2101884	101426946
0	linear/1024/base	serialization	17865880	188738	5365343
0	linear/1024/base	combined	98439611	2338759	110480177
0	linear/1024/light	ir	7126136	54622	3970450
0	linear/1024/light	cfg	21608854	0	0
0	linear/1024/light	emission_exclusive	56435029	2346883	104935712
0	linear/1024/light	serialization	17754249	188738	5359679
0	linear/1024/light	combined	102924599	2590243	114265841
0	linear/1024/heavy	ir	26539995	153950	14502323
0	linear/1024/heavy	cfg	21395509	0	0
0	linear/1024/heavy	emission_exclusive	160186364	4830132	176508472
0	linear/1024/heavy	serialization	66190020	188740	18583081
0	linear/1024/heavy	combined	274312249	5172822	209593876
0	diamond-chain/64/base	ir	120548	3014	230397
0	diamond-chain/64/base	cfg	105319	0	0
0	diamond-chain/64/base	emission_exclusive	5205491	225845	3714034
0	diamond-chain/64/base	serialization	1417593	17982	373065
0	diamond-chain/64/base	combined	6849192	246841	4317496
0	diamond-chain/64/light	ir	136478	3421	248575
0	diamond-chain/64/light	cfg	102404	0	0
0	diamond-chain/64/light	emission_exclusive	5466405	242545	3960954
0	diamond-chain/64/light	serialization	1377086	17982	372681
0	diamond-chain/64/light	combined	7082473	263948	4582210
0	diamond-chain/64/heavy	ir	381351	9628	906464
0	diamond-chain/64/heavy	cfg	106933	0	0
0	diamond-chain/64/heavy	emission_exclusive	13996667	486163	9978456
0	diamond-chain/64/heavy	serialization	4282735	17984	1199123
0	diamond-chain/64/heavy	combined	18767796	513775	12084043
0	diamond-chain/256/base	ir	647145	12045	926798
0	diamond-chain/256/base	cfg	1214088	0	0
0	diamond-chain/256/base	emission_exclusive	20234131	897470	17597948
0	diamond-chain/256/base	serialization	5515859	70976	1471095
0	diamond-chain/256/base	combined	27611343	980491	19995841
0	diamond-chain/256/light	ir	731234	13666	997392
0	diamond-chain/256/light	cfg	1211964	0	0
0	diamond-chain/256/light	emission_exclusive	21736774	965199	18603715
0	diamond-chain/256/light	serialization	5503195	70976	1469655
0	diamond-chain/256/light	combined	29183338	1049841	21070762
0	diamond-chain/256/heavy	ir	2317215	38498	3630385
0	diamond-chain/256/heavy	cfg	1208026	0	0
0	diamond-chain/256/heavy	emission_exclusive	56562271	1938175	42664308
0	diamond-chain/256/heavy	serialization	17111302	70978	4775489
0	diamond-chain/256/heavy	combined	77198964	2047651	51070182
0	diamond-chain/1024/base	ir	5862815	48151	3711831
0	diamond-chain/1024/base	cfg	21493355	0	0
0	diamond-chain/1024/base	emission_exclusive	83817579	3585414	116314962
0	diamond-chain/1024/base	serialization	21576772	282946	5863533
0	diamond-chain/1024/base	combined	132750912	3916511	125890326
0	diamond-chain/1024/light	ir	7235774	54636	3994393
0	diamond-chain/1024/light	cfg	23078936	0	0
0	diamond-chain/1024/light	emission_exclusive	88808133	3857263	120357625
0	diamond-chain/1024/light	serialization	22731989	282946	5857869
0	diamond-chain/1024/light	combined	141855113	4194845	130209887
0	diamond-chain/1024/heavy	ir	26545826	153964	14526266
0	diamond-chain/1024/heavy	cfg	23379805	0	0
0	diamond-chain/1024/heavy	emission_exclusive	226344893	7747807	216606437
0	diamond-chain/1024/heavy	serialization	67850793	282948	19081271
0	diamond-chain/1024/heavy	combined	344121528	8184719	250213974
0	fan-in/64/base	ir	120548	3012	231834
0	fan-in/64/base	cfg	69381	0	0
0	fan-in/64/base	emission_exclusive	20871028	361039	7738269
0	fan-in/64/base	serialization	3635389	23502	433675
0	fan-in/64/base	combined	24696496	387553	8403778
0	fan-in/256/base	ir	686830	12041	932555
0	fan-in/256/base	cfg	547657	0	0
0	fan-in/256/base	emission_exclusive	79330898	3324668	63227648
0	fan-in/256/base	serialization	937004	8140	1101612
0	fan-in/256/base	combined	81502569	3344849	65261815
0	fan-in/1024/base	ir	7045794	48145	3734868
0	fan-in/1024/base	cfg	10504520	0	0
0	fan-in/1024/base	emission_exclusive	785141500	31527604	618738748
0	fan-in/1024/base	serialization	1823652	8142	4248310
0	fan-in/1024/base	combined	804515646	31583891	626721926
0	nested-loop/64/base	ir	117563	3009	229111
0	nested-loop/64/base	cfg	186273	0	0
0	nested-loop/64/base	emission_exclusive	4047349	149718	2837421
0	nested-loop/64/base	serialization	1263451	13198	348803
0	nested-loop/64/base	combined	5614766	165925	3415335
0	nested-loop/256/base	ir	623630	12036	921000
0	nested-loop/256/base	cfg	2281778	0	0
0	nested-loop/256/base	emission_exclusive	15159017	576567	15976260
0	nested-loop/256/base	serialization	4909010	48528	1356497
0	nested-loop/256/base	combined	22973565	637131	18253757
0	nested-loop/1024/base	ir	5577295	48138	3687985
0	nested-loop/1024/base	cfg	40586487	0	0
0	nested-loop/1024/base	emission_exclusive	59506943	2283847	143759634
0	nested-loop/1024/base	serialization	20676269	189842	5387591
0	nested-loop/1024/base	combined	126347235	2521827	152835210
0	multi-exit/64/base	ir	118684	2990	231132
0	multi-exit/64/base	cfg	79340	0	0
0	multi-exit/64/base	emission_exclusive	25853988	1038325	19436690
0	multi-exit/64/base	serialization	5718702	46594	569880
0	multi-exit/64/base	combined	31770844	1087909	20237702
0	multi-exit/256/base	ir	672232	12025	931853
