run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-1	diamond-chain/1024/base	cfg	15	20815919.0	181641.0	21092934.0	377044.0	+0.005587	0.024564	0.073692	no
aa-1	diamond-chain/1024/base	combined	15	131665452.0	600893.0	131922032.0	987033.0	-0.001438	0.008978	0.050000	no
aa-1	diamond-chain/1024/base	emission_exclusive	15	82889338.0	490544.0	83160697.0	610022.0	+0.000225	0.006760	0.050000	no
aa-1	diamond-chain/1024/base	ir	15	5920073.0	62638.0	5861272.0	94088.0	-0.003561	0.015202	0.050000	no
aa-1	diamond-chain/1024/base	serialization	15	22051630.0	261347.0	21989880.0	224095.0	+0.009160	0.018140	0.054419	no
aa-1	diamond-chain/1024/heavy	cfg	15	20610641.0	84099.0	20572498.0	361045.0	-0.001339	0.031824	0.095472	no
aa-1	diamond-chain/1024/heavy	combined	15	339098179.0	2175755.0	340008126.0	4049786.0	+0.002498	0.014463	0.050000	no
aa-1	diamond-chain/1024/heavy	emission_exclusive	15	225794104.0	1792948.0	225635476.0	2273715.0	+0.003982	0.009648	0.050000	no
aa-1	diamond-chain/1024/heavy	ir	15	24452663.0	147009.0	24448011.0	120386.0	-0.002516	0.007880	0.050000	no
aa-1	diamond-chain/1024/heavy	serialization	15	68340867.0	1399771.0	70319329.0	2030925.0	+0.012563	0.045208	0.135623	no
aa-1	diamond-chain/1024/light	cfg	15	18549280.0	307091.0	18587226.0	251795.0	+0.004925	0.018051	0.054152	no
aa-1	diamond-chain/1024/light	combined	15	135272644.0	1244356.0	135541411.0	1764474.0	-0.007671	0.010816	0.050000	no
aa-1	diamond-chain/1024/light	emission_exclusive	15	87828614.0	765638.0	88344995.0	540106.0	-0.000270	0.019314	0.057942	no
aa-1	diamond-chain/1024/light	ir	15	7143679.0	132050.0	7114483.0	106051.0	-0.005330	0.011433	0.050000	no
aa-1	diamond-chain/1024/light	serialization	15	21813870.0	590598.0	21790657.0	594337.0	-0.016338	0.030763	0.092290	no
aa-1	diamond-chain/256/base	cfg	15	1219277.0	8917.0	1218657.0	7675.0	+0.005441	0.009421	0.050000	no
aa-1	diamond-chain/256/base	combined	15	27878997.0	161889.0	28075501.0	162328.0	+0.001033	0.006518	0.050000	no
aa-1	diamond-chain/256/base	emission_exclusive	15	20572320.0	113407.0	20515243.0	84036.0	-0.001056	0.007971	0.050000	no
aa-1	diamond-chain/256/base	ir	15	636254.0	6623.0	641865.0	5961.0	+0.007055	0.025121	0.075364	no
aa-1	diamond-chain/256/base	serialization	15	5522360.0	63520.0	5626418.0	99639.0	+0.006672	0.022435	0.067305	no
aa-1	diamond-chain/256/heavy	cfg	15	1206512.0	14045.0	1211212.0	18024.0	+0.005396	0.011816	0.050000	no
aa-1	diamond-chain/256/heavy	combined	15	76950067.0	694685.0	77225381.0	693358.0	+0.003217	0.011484	0.050000	no
aa-1	diamond-chain/256/heavy	emission_exclusive	15	56202670.0	399494.0	56359172.0	397171.0	+0.001422	0.009300	0.050000	no
aa-1	diamond-chain/256/heavy	ir	15	2350669.0	33454.0	2333927.0	23925.0	-0.014914	0.016645	0.050000	no
aa-1	diamond-chain/256/heavy	serialization	15	17111302.0	497525.0	17222939.0	485189.0	+0.018618	0.020528	0.061585	no
aa-1	diamond-chain/256/light	cfg	15	1183790.0	3286.0	1191805.0	14187.0	+0.007537	0.010155	0.050000	no
