path	ref_bytes	ref_sha256	cand_bytes	cand_sha256
asm/00000_sub_606b40.s	832	09c9f33fe8ca63697868a21768eefc78ec4b235f456ea1b35158d6634347a314	=	=
asm/00001_sub_606bc0.s	2857	800ec223ee5d17e559be4b80edc97a63aba952daf823d8ba22055daf4c7634b6	=	=
asm/00002_sub_606d3c.s	1621	752102cb73fbf1c7b7ab382b25225d0af61a74ce5005d7e3f26b4ce8cce97031	=	=
asm/00003_sub_606e1c.s	4510	c0251fde3467c88cb46df88b11baefc7bcd7fafaf9cf314052de6a77e4b2144a	=	=
asm/00004_sub_607080.s	1164	79692babd505f217e052451cd8101f24f984d2b2c2aeeb01d1ca8cb87ec47c0d	=	=
asm/00005_sub_607120.s	471	c17e46de8224a7ec3a97f188ada8b2aa1d2f56c64710635bb18e4159a9147916	=	=
asm/00006_sub_607160.s	242	51baa776f2d6398eff1c14b1838dc004c500c4151deb172322c497574bcab0fa	=	=
asm/00007_sub_607184.s	867	dae6d453d1df3811859904f1c47e98e2a9e4d460b1571323d0884f9504a51598	=	=
asm/00008_sub_6071fc.s	5256	b3752c2f3d3d713a4e4e02fc3f1a959c339e472aa40eec6a188d6156d3495613	=	=
asm/00009_sub_6074bc.s	4355	0d6d93a044dc0f832e3c6c4b70c057c335ab4318d469ae12c9675fdee811df71	=	=
asm/00010_sub_607700.s	9103	c878a69f5d6654677f9c5e708ae501c53f39e09cf1ce3f058c9d41aa47db7b28	=	=
asm/00011_sub_607bcc.s	4023	9f7d2a444c0daa9da422b044d8f259b8c3c731be09af7484f7fe9387d34579dd	=	=
asm/00012_sub_607df0.s	2852	02678828dbb649ab471d4e436e04e373600a72b94cafc34f0932a85238c4be11	=	=
asm/00013_sub_607f74.s	5295	d8780eeab633b3743c8619ddd2e721bd7c5a0b8cadd970c8090201f9850056b5	=	=
asm/00014_sub_608230.s	4165	4840af286762e064b18da5af018b852a1bc87bf029e6db036370eda5c474c6f3	=	=
asm/00015_sub_608458.s	3384	e0d32f184dd2af26ac3c90a8de23952fc685acf6daceb357d1c582d5a01d94b6	=	=
asm/00016_sub_608630.s	1221	ebc0d216e0109e376be7e260c44646ff48a92a6cbda6e6dce6c89407e2d0d276	=	=
asm/00017_sub_6086cc.s	2227	eb4de9f99dd0e7faeb31e68a250c3025a1fefff1c76cf9da46809a70ed38366f	=	=
asm/00018_sub_6087fc.s	1929	62a5ed7929ea20409635421ac15185bb25ed679e94c1e3b374f9bd3939913d26	=	=
asm/00019_sub_608900.s	90	32773a6bd1d2644575b78b3f526fd616d77b2abadfb4e0a90ec8cd8b28b9632e	=	=
asm/00020_sub_60890c.s	89	8e33bb043c9e16e38cdb3bbcc3178b398fb1c4aa669594a3790f05ba5d73db58	=	=
asm/00021_sub_608918.s	701	d2396b811c9d0d3795a5711854f24da832ce2864e22eae7463ed5120c25e51ff	=	=
asm/00022_sub_60897c.s	1990	eebb7caad848e29413a31bc6e3883513b36bfdd9037cdcbdd0fd835bb90e9af0	=	=
asm/00023_sub_608a84.s	5919	5905953dd9070f6d879bba441cce6d88c92dbf8274e41f1e4b573a2c3b7b597d	=	=
asm/00024_sub_608d7c.s	315	6d2e7d45c83d74eb419df58d0441276495258502224923a990190df88ac64eab	=	=
asm/00025_sub_608da8.s	4972	9434ab8b29d855586a496d95c456ca9e67be5c89fe4ec7d5f8a468ed1da357c3	=	=
asm/00026_sub_609028.s	1642	d3c67520f98bf02487eaac5b7851bd68b73e84c120951370dbf9eda39227d903	=	=
asm/00027_sub_609104.s	2716	e3a9009bb555f8ed8e731c4f1eb2c0ce2e670aafcedf1e3f8b6a38caa9dd2509	=	=
asm/00028_sub_609274.s	3326	85d043207c1ab8754a76055812c149f6c8cf8960b410972a980fe322f2db4fcc	=	=
asm/00029_sub_609430.s	90	d524d5da6fccb82eeed2f57d872fddfde335416944f6866ee094e7629a178c05	=	=
asm/00030_sub_60943c.s	522	a45fe761260e1368c40b3c01f8db49b28cf1034c374859605f9ca34ab2463347	=	=
asm/00031_sub_609484.s	1548	72014bacd127518f992bb387f6731ca6fbd8c20536ab0d42cfeaf410c6531905	=	=
asm/00032_sub_609554.s	1716	7581a4330f5521b791d08e0a9b8f76b9906e8facd12777533dd208b531b84847	=	=
asm/00033_sub_60963c.s	1615	cd94e9a586a485f98704e18aba7bc47152b82762db9de9fc71ff0eca7f70901d	=	=
asm/00034_sub_60971c.s	5469	980a368c2ddf494e66e84e055f1b32e0c3c45338fce61a79e0a10fba83c6f6fb	=	=
asm/00035_sub_6099f4.s	2922	d88c1111b221ecd34a6f6e27f436eb4f398377f4f44ba38985c34e85b86c327f	=	=
asm/00036_sub_609b70.s	1859	a253ca73b0031b42fad447107a9336f55a3639e8ef0a31ab1df0cb78fb235a7c	=	=
asm/00037_sub_609c64.s	987	f07f21dd99f651c96df89c4fd0ce3e80d4d76a38a9165817b438d3985d87256c	=	=
asm/00038_sub_609ce8.s	3397	f28d39aa87b9289c48bdb07058b5cdd082323f1ccabc58f1e017911a522e2292	=	=
asm/00039_sub_609eb8.s	2477	de4641891d2bd05aca6294c219cc32ccfcbdbc26da6dce18f417bc0bc24722f1	=	=
asm/00040_sub_60a004.s	526	0083e53e6369fa9bb6d2ff79a7f668c186facee1f72e4b2a62c5eb965d77432c	=	=
asm/00041_sub_60a048.s	1012	5ce574104976199a8d05f31ce9b5020d270db744cc235d94a641a75f37571500	=	=
asm/00042_sub_60a0c8.s	1026	41f2e4bbc78e052d122bf35b76375124d0eee8abc3e4838d6279d6c72882aefa	=	=
asm/00043_sub_60a14c.s	6381	9e913a832b9b540163ec58b82061cfed9539d4f1269942173fb363ad00da7756	=	=
asm/00044_sub_60a4a0.s	991	776286e8528b77477abfb79943c5ada027f4bb5c71e98a7f70425e97c5125ab1	=	=
asm/00045_sub_60a520.s	90	ab78f56ebea0521a9be33899f0a4fe4d8c27220b7acb217a037761df1e7007a6	=	=
asm/00046_sub_60a52c.s	3786	7afcdadab92c8e745c86469773601aa364011bababb357e9c821f22c5a3e5255	=	=
asm/00047_sub_60a740.s	359	9f26bb2639d20f53324407bf848138a0a16cd578bfea18c1f6a4d03099dc18d1	=	=
asm/00048_sub_60a770.s	883	31d49bd8f4b110b5e66b09539c337c38acd94077c28f43e0b7d0d5278551e3a5	=	=
asm/00049_sub_60a7e4.s	2626	a6107b771bd85306679d786be4b5cfa247946a9dff94b76b8d9cbf8e4e9ba82c	=	=
asm/00050_sub_60a934.s	10263	6ba3a33a351fe83d3f510c4c15cef492dba8793151c8f08afd9decb50488d2ce	=	=
asm/00051_sub_60ae88.s	2285	27bc48a9fbcf97c9f1daf5aa51459716da0e062a5d68e53a1096ff96fd5eb870	=	=
asm/00052_sub_60afbc.s	1048	fdabdb5d909c10e8aa0d91fe1078c14000a6269b4af77d4b1357b8c6f914c2b9	=	=
asm/00053_sub_60b04c.s	1727	210b9c2ddf59d40ae342d83513f2d1c20e55c9a430c6ec5af890cb2b0f676552	=	=
asm/00054_sub_60b138.s	3407	28362b2159b35d7cfea406209d15f597d28fcb3498b6f967c9b630b438ff2d0f	=	=
asm/00055_sub_60b304.s	2903	33e15c4ba7321a15bdaf1ad7e39b9264722752241c367edf2426567d470c3191	=	=
asm/00056_sub_60b484.s	90	5360ac4492618a202cd4c44ee253586f378030542af18441daec9b2580ab8eb8	=	=
asm/00057_sub_60b490.s	10343	c96accd1e68af3d972f627f0c463ef7111c6522bfd2f445617e61cd35ed4f035	=	=
asm/00058_sub_60ba04.s	789	51e96c01b7ac7c05a104c2755d5cf41ade07c75f727cb65dcf9e6a70f77085e3	=	=
asm/00059_sub_60ba70.s	646	a4e574dec60cefcc5baa7ab0c05e2fc83803e928c47c9aa0d0d63a5f368dbd50	=	=
asm/00060_sub_60bac8.s	1866	30d3520b099ff576db039ac94ecf1e015fff9d44d414c1bd4ef0a978c0cde930	=	=
asm/00061_sub_60bbc8.s	5772	8fbddfa66614886552895aa3281fde840d1e1073f9990fd0b9ef938b2a4a6021	=	=
asm/00062_sub_60bed4.s	5739	b92f9bf4dd5ee9782b4fd67a66f6cb7a64861c10db3a1665b4272ebad9dba1e0	=	=
asm/00063_sub_60c1dc.s	1119	e14f436d99c896f45fa20e7508ae3e4830f1ee0d5f0e4738bfce3562d3e5d31b	=	=
asm/00064_sub_60c274.s	2808	375b0344d87f7b75bed572d7051a8306e77f2f22206b5eb98c04eeb178a8766b	=	=
asm/00065_sub_60c3e4.s	1754	0f44daef373b3c6e6d6f164a63ac054bf15973c7f146dc0020f54913a8fcb783	=	=
asm/00066_sub_60c4d8.s	2300	94dbe7ae648e734fd3c2357509e5e41ffa1d6da7891c6f27ee10fca9b2802d37	=	=
asm/00067_sub_60c60c.s	90	481e429defce2e7eb0efa17b72c3ac4f42fef5225f1cb5f98734c073bff8d919	=	=
