file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
00033_sub_60963c.dartpseudo	vanished_behind_indirect_branch	4	1	22	12	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_d50264	sub_d50264:4
00054_sub_60b138.dartpseudo	fewer_renderings_same_callees	2	0	72	40	trap_only	0			sub_d4fcf4:2
00069_sub_60c8dc.dartpseudo	fewer_renderings_same_callees	8	0	304	727	trap_only	2			sub_60d744:6;sub_d4fcf4:2
00078_sub_60dbb8.dartpseudo	fewer_renderings_same_callees	6	0	56	41	trap_only	2			sub_60cbfc:3;sub_d51b44:3
00088_sub_60ee08.dartpseudo	fewer_renderings_same_callees	2	0	44	35	trap_only	2			sub_60b304:1;sub_d4fcf4:1
00096_sub_60f780.dartpseudo	vanished_behind_indirect_branch	12	2	46	26	indirect_branch_only	0	disposition_RetainedUnreachable:4;lost_edge_after_IndirectBranch:4	sub_60f8bc;sub_bbe8a0	sub_60f8bc:4;sub_bbe8a0:8
00100_sub_61123c.dartpseudo	fewer_renderings_same_callees	3	0	56	48	trap_only	2			sub_60971c:1;sub_d4fcf4:1;sub_d51b44:1
00110_sub_612d8c.dartpseudo	fewer_renderings_same_callees	2	0	63	110	trap_only	2			sub_60ba70:2
00115_sub_613bb8.dartpseudo	fewer_renderings_same_callees	24	0	251	50	trap_only	2			sel2:4;sel64036:2;sel86715:5;sub_613f88:4;sub_8a0018:2;sub_8fd1b0:2;sub_d4fcf4:3;sub_d502a4:2
00121_sub_6149b8.dartpseudo	fewer_renderings_same_callees	5	0	252	309	none	0			sub_d4fd18:5
00122_sub_614c04.dartpseudo	fewer_renderings_same_callees	12	0	197	367	none	0			sub_614608:10;sub_6149b8:2
00124_sub_61507c.dartpseudo	vanished_behind_indirect_branch	6	3	26	10	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:3	sub_61511c;sub_615220;sub_d50264	sub_61511c:2;sub_615220:2;sub_d50264:2
00131_sub_6158d4.dartpseudo	fewer_renderings_same_callees	22	0	165	44	trap_only	2			sel108068:3;sel108089:3;sel66721:3;sub_d4fb90:1;sub_d4fcf4:3;sub_d50a6c:6;sub_d51b44:3
00140_sub_6167e8.dartpseudo	vanished_behind_indirect_branch	2	1	15	8	indirect_branch_only	0	disposition_RetainedUnreachable:4;lost_edge_after_IndirectBranch:1	sub_d50264	sub_d50264:2
00219_sub_62bdc8.dartpseudo	fewer_renderings_same_callees	9	0	116	95	trap_only	2			fn_0x62c138:1;fn_0x62c19c:1;fn_0x62c618:1;sel1814:1;sub_60971c:1;sub_d4fcf4:3;sub_d51b44:1
00232_sub_62d9d4.dartpseudo	fewer_renderings_same_callees	2	0	261	2703	trap_only	2			sub_b0e1f8:2
00249_sub_62f4d8.dartpseudo	vanished_behind_trap	6	1	57	33	trap_only	0	disposition_RetainedUnreachable:1;lost_edge_after_Trap:1	fn_0x62f620	fn_0x62f620:3;sub_d4fcf4:3
00304_sub_633a5c.dartpseudo	fewer_renderings_same_callees	14	0	253	62	trap_only	2			sub_607bcc:2;sub_8fa244:1;sub_d4fca4:11
00324_sub_6359c0.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0x635a28	fn_0x635a28:2
00349_sub_638590.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0x6385fc	fn_0x6385fc:2
00358_sub_63a2bc.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0x63a328	fn_0x63a328:2
00359_sub_63a428.dartpseudo	fewer_renderings_same_callees	39	0	341	74	trap_only	2			sel64036:3;sel86715:5;sub_6155d8:3;sub_63a860:4;sub_64763c:3;sub_7d3514:3;sub_9a9864:3;sub_d4cdd0:3;sub_d4fca4:1;sub_d4fcf4:7;sub_d502e4:1;sub_d50e6c:3
00368_sub_63b330.dartpseudo	fewer_renderings_same_callees	3	0	40	28	trap_only	0			sub_d4fb90:3
00378_sub_63e3c4.dartpseudo	fewer_renderings_same_callees	10	0	65	31	trap_only	2			sub_607df0:5;sub_d4eb60:5
00389_sub_646668.dartpseudo	fewer_renderings_same_callees	3	0	68	40	trap_only	2			sub_d4fcf4:3
00395_sub_6471e4.dartpseudo	vanished_behind_indirect_branch	59	8	387	38	indirect_branch_only	0	dispatch_selector_rendering:1;disposition_RetainedUnreachable:7;lost_edge_after_IndirectBranch:7	sel0;sub_647004;sub_88be0c;sub_8e89b4;sub_8fd1b0;sub_9023ec;sub_c34df4;sub_d4fb90	sel0:8;sub_647004:15;sub_88be0c:4;sub_8e89b4:4;sub_8fd1b0:4;sub_9023ec:4;sub_c34df4:12;sub_d4fb90:8
00402_sub_647a78.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0x647ae4	fn_0x647ae4:2
00416_sub_64949c.dartpseudo	fewer_renderings_same_callees	15	0	98	40	trap_only	2			fn_0x6496a8:3;sub_60d5b4:3;sub_648a6c:3;sub_8ea0dc:3;sub_d4fcf4:3
00448_sub_64e8e8.dartpseudo	vanished_behind_indirect_branch	20	2	72	66	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sub_d50aa8;sub_d50e6c	sub_d50aa8:10;sub_d50e6c:10
00451_sub_64f1ac.dartpseudo	vanished_behind_indirect_branch	4	2	13	13	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:2	fn_0x64f23c;sub_d4fb90	fn_0x64f23c:2;sub_d4fb90:2
00462_sub_6503e0.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	sub_650454	sub_650454:2
