case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
linear/64/base	ir	3026	240174	167625	85962752
linear/64/base	cfg	578	304344	119680	85962752
linear/64/base	emission_exclusive	140320	2333955	48350	85962752
linear/64/base	serialization	12094	341915	131072	85962752
linear/64/base	combined	156018	3220388	222639	85962752
linear/64/light	ir	3433	258352	184650	85962752
linear/64/light	cfg	578	304344	119680	85962752
linear/64/light	emission_exclusive	156247	2546522	47880	85962752
linear/64/light	serialization	12094	341531	131072	85962752
linear/64/light	combined	172352	3450749	224337	85962752
linear/64/heavy	ir	9640	916241	628651	85962752
linear/64/heavy	cfg	578	304344	119680	85962752
linear/64/heavy	emission_exclusive	326930	8185691	95590	85962752
linear/64/heavy	serialization	12096	1167973	524288	85962752
linear/64/heavy	combined	349244	10574249	862487	85962752
linear/256/base	ir	12103	966351	674713	85962752
linear/256/base	cfg	2192	4461400	1731712	85962752
linear/256/base	emission_exclusive	556103	9203732	188687	85962752
linear/256/base	serialization	47424	1346537	524288	85962752
linear/256/base	combined	617822	15978020	2089531	85962752
linear/256/light	ir	13724	1036945	740698	85962752
linear/256/light	cfg	2192	4461400	1731712	85962752
linear/256/light	emission_exclusive	620661	10073862	186921	85962752
linear/256/light	serialization	47424	1345097	524288	85962752
linear/256/light	combined	684001	16917304	2097087	85962752
linear/256/heavy	ir	38556	3669938	2518139	85962752
linear/256/heavy	cfg	2192	4461400	1731712	85962752
linear/256/heavy	emission_exclusive	1299774	32591722	375319	85962752
linear/256/heavy	serialization	47426	4650931	2097152	85962752
linear/256/heavy	combined	1387948	45373991	3449847	85962752
linear/1024/base	ir	48405	3878552	2702361	85962752
linear/1024/base	cfg	8608	69749632	26980480	85962752
linear/1024/base	emission_exclusive	2219201	36716678	750512	85962752
linear/1024/base	serialization	188738	5365343	2097152	85962752
linear/1024/base	combined	2464952	115710205	28407838	85962752
linear/1024/light	ir	54890	4161114	2966490	85962752
linear/1024/light	cfg	8608	69749632	26980480	85962752
linear/1024/light	emission_exclusive	2478278	40218288	743578	85962752
linear/1024/light	serialization	188738	5359679	2097152	85962752
linear/1024/light	combined	2730514	119488713	28438066	85962752
linear/1024/heavy	ir	154218	14692987	10076155	85962752
