run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	147429	3026	240174
0	linear/64/base	cfg	114647	0	0
0	linear/64/base	emission_exclusive	3754746	140898	2638299
0	linear/64/base	serialization	1823041	12094	341915
0	linear/64/base	combined	5840144	156018	3220388
0	linear/64/light	ir	133894	3433	258352
0	linear/64/light	cfg	98437	0	0
0	linear/64/light	emission_exclusive	3959774	156825	2850866
0	linear/64/light	serialization	1820786	12094	341531
0	linear/64/light	combined	6013011	172352	3450749
0	linear/64/heavy	ir	475961	9640	916241
0	linear/64/heavy	cfg	92245	0	0
0	linear/64/heavy	emission_exclusive	11593272	327508	8490035
0	linear/64/heavy	serialization	6580965	12096	1167973
0	linear/64/heavy	combined	18742593	349244	10574249
0	linear/256/base	ir	631886	12103	966351
0	linear/256/base	cfg	1417032	0	0
0	linear/256/base	emission_exclusive	14472802	558295	13665132
0	linear/256/base	serialization	7070282	47424	1346537
0	linear/256/base	combined	23592142	617822	15978020
0	linear/256/light	ir	705856	13724	1036945
0	linear/256/light	cfg	1293879	0	0
0	linear/256/light	emission_exclusive	15591760	622853	14535262
0	linear/256/light	serialization	6978408	47424	1345097
0	linear/256/light	combined	24570043	684001	16917304
0	linear/256/heavy	ir	2783368	38556	3669938
0	linear/256/heavy	cfg	1269012	0	0
0	linear/256/heavy	emission_exclusive	45360041	1301966	37053122
0	linear/256/heavy	serialization	25774553	47426	4650931
0	linear/256/heavy	combined	75187124	1387948	45373991
0	linear/1024/base	ir	5676925	48405	3878552
0	linear/1024/base	cfg	23095262	0	0
0	linear/1024/base	emission_exclusive	57549932	2227809	106466310
0	linear/1024/base	serialization	29423139	188738	5365343
0	linear/1024/base	combined	115745668	2464952	115710205
0	linear/1024/light	ir	6799660	54890	4161114
0	linear/1024/light	cfg	21940807	0	0
0	linear/1024/light	emission_exclusive	61941814	2486886	109967920
0	linear/1024/light	serialization	29144892	188738	5359679
0	linear/1024/light	combined	119827423	2730514	119488713
0	linear/1024/heavy	ir	26477163	154218	14692987
0	linear/1024/heavy	cfg	21583200	0	0
0	linear/1024/heavy	emission_exclusive	184392953	5199855	200017585
0	linear/1024/heavy	serialization	108383885	188740	18583081
0	linear/1024/heavy	combined	340837552	5542813	233293653
0	diamond-chain/64/base	ir	128203	3032	241429
0	diamond-chain/64/base	cfg	106601	0	0
0	diamond-chain/64/base	emission_exclusive	5560154	231315	3991572
0	diamond-chain/64/base	serialization	2168344	17982	373065
0	diamond-chain/64/base	combined	7963452	252329	4606066
0	diamond-chain/64/light	ir	137691	3439	259607
0	diamond-chain/64/light	cfg	106962	0	0
0	diamond-chain/64/light	emission_exclusive	5937418	250653	4261308
0	diamond-chain/64/light	serialization	2116375	17982	372681
0	diamond-chain/64/light	combined	8298577	272074	4893596
0	diamond-chain/64/heavy	ir	396260	9646	917496
0	diamond-chain/64/heavy	cfg	103757	0	0
0	diamond-chain/64/heavy	emission_exclusive	15397501	508168	11427125
0	diamond-chain/64/heavy	serialization	7050134	17984	1199123
0	diamond-chain/64/heavy	combined	22947772	535798	13543744
0	diamond-chain/256/base	ir	636625	12113	971734
0	diamond-chain/256/base	cfg	1231030	0	0
0	diamond-chain/256/base	emission_exclusive	21701524	918258	18682496
0	diamond-chain/256/base	serialization	8037332	70976	1471095
0	diamond-chain/256/base	combined	31606701	1001347	21125325
0	diamond-chain/256/light	ir	729040	13734	1042328
0	diamond-chain/256/light	cfg	1223946	0	0
0	diamond-chain/256/light	emission_exclusive	22580197	996897	19787059
0	diamond-chain/256/light	serialization	7937984	70976	1469655
0	diamond-chain/256/light	combined	32471297	1081607	22299042
0	diamond-chain/256/heavy	ir	2332675	38566	3675321
0	diamond-chain/256/heavy	cfg	1199160	0	0
0	diamond-chain/256/heavy	emission_exclusive	60900063	2025306	48439647
0	diamond-chain/256/heavy	serialization	27866452	70978	4775489
0	diamond-chain/256/heavy	combined	92298500	2134850	56890457
0	diamond-chain/1024/base	ir	5746787	48419	3900447
0	diamond-chain/1024/base	cfg	21828534	0	0
0	diamond-chain/1024/base	emission_exclusive	86106661	3667460	120635206
0	diamond-chain/1024/base	serialization	33339491	282946	5863533
0	diamond-chain/1024/base	combined	147021643	3998825	130399186
0	diamond-chain/1024/light	ir	6984039	54904	4183009
0	diamond-chain/1024/light	cfg	18226937	0	0
0	diamond-chain/1024/light	emission_exclusive	93372684	3983307	125080753
0	diamond-chain/1024/light	serialization	33519331	282946	5857869
0	diamond-chain/1024/light	combined	152103211	4321157	135121631
0	diamond-chain/1024/heavy	ir	24255298	154232	14714882
0	diamond-chain/1024/heavy	cfg	20408126	0	0
0	diamond-chain/1024/heavy	emission_exclusive	252424345	8095428	239697466
0	diamond-chain/1024/heavy	serialization	112251063	282948	19081271
0	diamond-chain/1024/heavy	combined	409338952	8532608	273493619
0	fan-in/64/base	ir	126409	3035	243042
0	fan-in/64/base	cfg	74531	0	0
0	fan-in/64/base	emission_exclusive	29256754	374084	8862989
0	fan-in/64/base	serialization	6176330	23502	433675
0	fan-in/64/base	combined	35634154	400621	9539706
0	fan-in/256/base	ir	672773	12144	978787
0	fan-in/256/base	cfg	551424	0	0
0	fan-in/256/base	emission_exclusive	93987907	2690323	73940842
0	fan-in/256/base	serialization	19657045	169875	2040148
0	fan-in/256/base	combined	114869309	2872342	76959777
0	fan-in/1024/base	ir	6498970	48575	3929268
0	fan-in/1024/base	cfg	11144923	0	0
0	fan-in/1024/base	emission_exclusive	725038678	19571016	628456763
0	fan-in/1024/base	serialization	56188165	520489	7222939
0	fan-in/1024/base	combined	798870986	20140080	639608970
0	nested-loop/64/base	ir	121029	3028	240359
0	nested-loop/64/base	cfg	183006	0	0
0	nested-loop/64/base	emission_exclusive	4550463	158164	3203533
0	nested-loop/64/base	serialization	2099724	13198	348803
0	nested-loop/64/base	combined	6954362	174390	3792695
0	nested-loop/256/base	ir	624422	12105	966536
0	nested-loop/256/base	cfg	2284273	0	0
0	nested-loop/256/base	emission_exclusive	17005526	608659	17402870
0	nested-loop/256/base	serialization	8045568	48528	1356497
0	nested-loop/256/base	combined	27959919	669292	19725903
0	nested-loop/1024/base	ir	5398056	48407	3878737
0	nested-loop/1024/base	cfg	39648581	0	0
0	nested-loop/1024/base	emission_exclusive	67611156	2410535	149436100
0	nested-loop/1024/base	serialization	33211007	189842	5387591
0	nested-loop/1024/base	combined	145869051	2648784	158702428
0	multi-exit/64/base	ir	131048	3014	242868
