run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	150755	3026	240174
0	linear/64/base	cfg	115819	0	0
0	linear/64/base	emission_exclusive	3807636	140898	2638299
0	linear/64/base	serialization	1655463	12094	341915
0	linear/64/base	combined	5732670	156018	3220388
0	linear/64/light	ir	134815	3433	258352
0	linear/64/light	cfg	92175	0	0
0	linear/64/light	emission_exclusive	4032571	156825	2850866
0	linear/64/light	serialization	1732760	12094	341531
0	linear/64/light	combined	5992441	172352	3450749
0	linear/64/heavy	ir	501179	9640	916241
0	linear/64/heavy	cfg	93377	0	0
0	linear/64/heavy	emission_exclusive	11957952	327508	8490035
0	linear/64/heavy	serialization	6255439	12096	1167973
0	linear/64/heavy	combined	18808359	349244	10574249
0	linear/256/base	ir	633790	12103	966351
0	linear/256/base	cfg	1430247	0	0
0	linear/256/base	emission_exclusive	14785865	558295	13665132
0	linear/256/base	serialization	6768300	47424	1346537
0	linear/256/base	combined	23618352	617822	15978020
0	linear/256/light	ir	700495	13724	1036945
0	linear/256/light	cfg	1298768	0	0
0	linear/256/light	emission_exclusive	15936623	622853	14535262
0	linear/256/light	serialization	6688779	47424	1345097
0	linear/256/light	combined	24624816	684001	16917304
0	linear/256/heavy	ir	2746819	38556	3669938
0	linear/256/heavy	cfg	1267539	0	0
0	linear/256/heavy	emission_exclusive	47232865	1301966	37053122
0	linear/256/heavy	serialization	24485974	47426	4650931
0	linear/256/heavy	combined	75733368	1387948	45373991
0	linear/1024/base	ir	5488347	48405	3878552
0	linear/1024/base	cfg	23243070	0	0
0	linear/1024/base	emission_exclusive	57802201	2227809	106466310
0	linear/1024/base	serialization	25622464	188738	5365343
0	linear/1024/base	combined	112156273	2464952	115710205
0	linear/1024/light	ir	6893898	54890	4161114
0	linear/1024/light	cfg	22026018	0	0
0	linear/1024/light	emission_exclusive	63622936	2486886	109967920
0	linear/1024/light	serialization	28113259	188738	5359679
0	linear/1024/light	combined	120656282	2730514	119488713
0	linear/1024/heavy	ir	26453337	154218	14692987
0	linear/1024/heavy	cfg	21732172	0	0
0	linear/1024/heavy	emission_exclusive	189139517	5199855	200017585
0	linear/1024/heavy	serialization	98374369	188740	18583081
0	linear/1024/heavy	combined	335699657	5542813	233293653
0	diamond-chain/64/base	ir	125207	3032	241429
0	diamond-chain/64/base	cfg	110749	0	0
0	diamond-chain/64/base	emission_exclusive	5641027	231315	3991572
0	diamond-chain/64/base	serialization	1972393	17982	373065
0	diamond-chain/64/base	combined	7849506	252329	4606066
0	diamond-chain/64/light	ir	135907	3439	259607
0	diamond-chain/64/light	cfg	106211	0	0
0	diamond-chain/64/light	emission_exclusive	5924062	250653	4261308
0	diamond-chain/64/light	serialization	1976811	17982	372681
0	diamond-chain/64/light	combined	8143111	272074	4893596
0	diamond-chain/64/heavy	ir	394717	9646	917496
0	diamond-chain/64/heavy	cfg	108625	0	0
0	diamond-chain/64/heavy	emission_exclusive	15692160	508168	11427125
0	diamond-chain/64/heavy	serialization	6328117	17984	1199123
0	diamond-chain/64/heavy	combined	22523750	535798	13543744
0	diamond-chain/256/base	ir	633539	12113	971734
0	diamond-chain/256/base	cfg	1252651	0	0
0	diamond-chain/256/base	emission_exclusive	21855245	918258	18682496
0	diamond-chain/256/base	serialization	7776759	70976	1471095
0	diamond-chain/256/base	combined	31518324	1001347	21125325
0	diamond-chain/256/light	ir	730984	13734	1042328
0	diamond-chain/256/light	cfg	1220510	0	0
0	diamond-chain/256/light	emission_exclusive	23237370	996897	19787059
0	diamond-chain/256/light	serialization	7688241	70976	1469655
0	diamond-chain/256/light	combined	32877235	1081607	22299042
0	diamond-chain/256/heavy	ir	2339007	38566	3675321
0	diamond-chain/256/heavy	cfg	1246379	0	0
0	diamond-chain/256/heavy	emission_exclusive	62233358	2025306	48439647
0	diamond-chain/256/heavy	serialization	25269426	70978	4775489
0	diamond-chain/256/heavy	combined	91088340	2134850	56890457
0	diamond-chain/1024/base	ir	5703736	48419	3900447
0	diamond-chain/1024/base	cfg	22106099	0	0
0	diamond-chain/1024/base	emission_exclusive	88642821	3667460	120635206
0	diamond-chain/1024/base	serialization	30899652	282946	5863533
0	diamond-chain/1024/base	combined	147352459	3998825	130399186
0	diamond-chain/1024/light	ir	6882867	54904	4183009
0	diamond-chain/1024/light	cfg	18708088	0	0
0	diamond-chain/1024/light	emission_exclusive	94351215	3983307	125080753
0	diamond-chain/1024/light	serialization	30481071	282946	5857869
0	diamond-chain/1024/light	combined	150423371	4321157	135121631
0	diamond-chain/1024/heavy	ir	24302155	154232	14714882
0	diamond-chain/1024/heavy	cfg	21075770	0	0
0	diamond-chain/1024/heavy	emission_exclusive	257665404	8095428	239697466
0	diamond-chain/1024/heavy	serialization	102085173	282948	19081271
0	diamond-chain/1024/heavy	combined	405128642	8532608	273493619
0	fan-in/64/base	ir	126840	3035	243042
0	fan-in/64/base	cfg	71025	0	0
0	fan-in/64/base	emission_exclusive	31656895	374084	8862989
0	fan-in/64/base	serialization	5622452	23502	433675
0	fan-in/64/base	combined	37477342	400621	9539706
0	fan-in/256/base	ir	667814	12144	978787
0	fan-in/256/base	cfg	582222	0	0
