case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
held-out/0/1579	ir	67669	4223136	3149018	96722944
held-out/0/1579	cfg	11838	79317217	29364751	96722944
held-out/0/1579	emission_exclusive	23278825	641556827	3609987	96722944
held-out/0/1579	serialization	219465	5497019	2097152	96722944
held-out/0/1579	combined	23577797	730594199	30693533	96722944
held-out/1/1206	ir	51696	3311537	2405657	96722944
held-out/1/1206	cfg	7293	38921762	22432402	96722944
held-out/1/1206	emission_exclusive	18224611	505631397	2933619	96722944
held-out/1/1206	serialization	211185	5448447	2097152	96722944
held-out/1/1206	combined	18494785	553313143	23464075	96722944
held-out/2/1926	ir	82530	5072821	3842236	96722944
held-out/2/1926	cfg	11777	112399034	71332346	96722944
held-out/2/1926	emission_exclusive	27934191	800328354	4744372	96722944
held-out/2/1926	serialization	220202	9697577	4194304	96722944
held-out/2/1926	combined	28248700	927497786	73007125	96722944
held-out/3/1522	ir	65232	4084603	3036106	96722944
held-out/3/1522	cfg	11336	68266658	28305382	96722944
held-out/3/1522	emission_exclusive	22510548	620986987	3512353	96722944
held-out/3/1522	serialization	217441	5486733	2097152	96722944
held-out/3/1522	combined	22804557	698824981	29588768	96722944
held-out/4/1795	ir	76917	4752440	3580953	96722944
held-out/4/1795	cfg	13509	125631745	66483071	96722944
held-out/4/1795	emission_exclusive	26226556	753399681	4592102	96722944
held-out/4/1795	serialization	225814	9731046	4194304	96722944
held-out/4/1795	combined	26542796	893514912	68053497	96722944
held-out/5/1361	ir	58326	3690410	2714595	96722944
held-out/5/1361	cfg	14933	71897528	34319258	96722944
held-out/5/1361	emission_exclusive	23944491	623433777	3226285	96722944
held-out/5/1361	serialization	237221	5604198	2097152	96722944
held-out/5/1361	combined	24254971	704625913	35474352	96722944
