case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
held-out/0/1579	ir	67669	4223136	3149018	96587776
held-out/0/1579	cfg	11838	79317217	29364751	96587776
held-out/0/1579	emission_exclusive	23856107	643040709	3610787	96587776
held-out/0/1579	serialization	219465	5497019	2097152	96587776
held-out/0/1579	combined	24155079	732078081	30693533	96587776
held-out/1/1206	ir	51696	3311537	2405657	96587776
held-out/1/1206	cfg	7293	38921762	22432402	96587776
held-out/1/1206	emission_exclusive	18809951	507134339	2934419	96587776
held-out/1/1206	serialization	211185	5448447	2097152	96587776
held-out/1/1206	combined	19080125	554816085	23464075	96587776
held-out/2/1926	ir	82530	5072821	3842236	96608256
held-out/2/1926	cfg	11777	112399034	71332346	96608256
held-out/2/1926	emission_exclusive	28670252	802206751	4745172	96608256
held-out/2/1926	serialization	220202	9697577	4194304	96608256
held-out/2/1926	combined	28984761	929376183	73007125	96608256
held-out/3/1522	ir	65232	4084603	3036106	96608256
held-out/3/1522	cfg	11336	68266658	28305382	96608256
held-out/3/1522	emission_exclusive	23094142	622484737	3513153	96608256
held-out/3/1522	serialization	217441	5486733	2097152	96608256
held-out/3/1522	combined	23388151	700322731	29588768	96608256
held-out/4/1795	ir	76917	4752440	3580953	96608256
held-out/4/1795	cfg	13509	125631745	66483071	96608256
held-out/4/1795	emission_exclusive	26882598	755084501	4592102	96608256
held-out/4/1795	serialization	225814	9731046	4194304	96608256
held-out/4/1795	combined	27198838	895199732	68053497	96608256
held-out/5/1361	ir	58326	3690410	2714595	96608256
held-out/5/1361	cfg	14933	71897528	34319258	96608256
held-out/5/1361	emission_exclusive	24735915	625458727	3227085	96608256
held-out/5/1361	serialization	237221	5604198	2097152	96608256
held-out/5/1361	combined	25046395	706650863	35474352	96608256
