0	first	reference
0	second	candidate
1	first	candidate
1	second	reference
2	first	reference
2	second	candidate
3	first	candidate
3	second	reference
4	first	reference
4	second	candidate
5	first	candidate
5	second	reference
6	first	reference
6	second	candidate
7	first	candidate
7	second	reference
8	first	reference
8	second	candidate
9	first	candidate
9	second	reference
10	first	reference
10	second	candidate
11	first	candidate
11	second	reference
12	first	reference
12	second	candidate
13	first	candidate
13	second	reference
14	first	reference
14	second	candidate
