run	case	phase	nanos	alloc_count	alloc_bytes
0	held-out/0/1579	ir	13366169	67669	4223136
0	held-out/0/1579	cfg	34400241	0	0
0	held-out/0/1579	emission_exclusive	507025412	23290663	720874044
0	held-out/0/1579	serialization	27904266	219465	5497019
0	held-out/0/1579	combined	582696459	23577797	730594199
0	held-out/1/1206	ir	7027221	51696	3311537
0	held-out/1/1206	cfg	12733913	0	0
0	held-out/1/1206	emission_exclusive	401930520	18231904	544553159
0	held-out/1/1206	serialization	25981837	211185	5448447
0	held-out/1/1206	combined	447673752	18494785	553313143
0	held-out/2/1926	ir	17312519	82530	5072821
0	held-out/2/1926	cfg	39691597	0	0
0	held-out/2/1926	emission_exclusive	615441718	27945968	912727388
0	held-out/2/1926	serialization	29310237	220202	9697577
0	held-out/2/1926	combined	701756322	28248700	927497786
0	held-out/3/1522	ir	10509792	65232	4084603
0	held-out/3/1522	cfg	25691558	0	0
0	held-out/3/1522	emission_exclusive	494598321	22521884	689253645
0	held-out/3/1522	serialization	27655686	217441	5486733
0	held-out/3/1522	combined	558455537	22804557	698824981
0	held-out/4/1795	ir	14998949	76917	4752440
0	held-out/4/1795	cfg	49068866	0	0
0	held-out/4/1795	emission_exclusive	580487088	26240065	879031426
0	held-out/4/1795	serialization	29339623	225814	9731046
0	held-out/4/1795	combined	673894856	26542796	893514912
0	held-out/5/1361	ir	8671613	58326	3690410
0	held-out/5/1361	cfg	22103337	0	0
0	held-out/5/1361	emission_exclusive	526268033	23959424	695331305
0	held-out/5/1361	serialization	29962041	237221	5604198
0	held-out/5/1361	combined	587005155	24254971	704625913
1	held-out/0/1579	ir	12511090	67669	4223136
1	held-out/0/1579	cfg	33460152	0	0
1	held-out/0/1579	emission_exclusive	511126835	23290663	720874044
1	held-out/0/1579	serialization	29390669	219465	5497019
1	held-out/0/1579	combined	586489228	23577797	730594199
1	held-out/1/1206	ir	6983217	51696	3311537
1	held-out/1/1206	cfg	12493828	0	0
1	held-out/1/1206	emission_exclusive	407399263	18231904	544553159
1	held-out/1/1206	serialization	26394037	211185	5448447
1	held-out/1/1206	combined	453270526	18494785	553313143
1	held-out/2/1926	ir	17399504	82530	5072821
1	held-out/2/1926	cfg	39591657	0	0
1	held-out/2/1926	emission_exclusive	613800603	27945968	912727388
1	held-out/2/1926	serialization	29225247	220202	9697577
1	held-out/2/1926	combined	700017171	28248700	927497786
1	held-out/3/1522	ir	10840619	65232	4084603
1	held-out/3/1522	cfg	25948344	0	0
1	held-out/3/1522	emission_exclusive	500508176	22521884	689253645
1	held-out/3/1522	serialization	27704909	217441	5486733
1	held-out/3/1522	combined	565002279	22804557	698824981
1	held-out/4/1795	ir	15289349	76917	4752440
1	held-out/4/1795	cfg	48818392	0	0
1	held-out/4/1795	emission_exclusive	582697362	26240065	879031426
1	held-out/4/1795	serialization	29368037	225814	9731046
1	held-out/4/1795	combined	676173520	26542796	893514912
1	held-out/5/1361	ir	8593055	58326	3690410
1	held-out/5/1361	cfg	22802610	0	0
1	held-out/5/1361	emission_exclusive	530267384	23959424	695331305
1	held-out/5/1361	serialization	29870838	237221	5604198
1	held-out/5/1361	combined	591534067	24254971	704625913
2	held-out/0/1579	ir	12929934	67669	4223136
2	held-out/0/1579	cfg	35089055	0	0
2	held-out/0/1579	emission_exclusive	507828092	23290663	720874044
2	held-out/0/1579	serialization	28232497	219465	5497019
2	held-out/0/1579	combined	584079919	23577797	730594199
2	held-out/1/1206	ir	6872949	51696	3311537
2	held-out/1/1206	cfg	12843520	0	0
2	held-out/1/1206	emission_exclusive	408065996	18231904	544553159
2	held-out/1/1206	serialization	26447599	211185	5448447
2	held-out/1/1206	combined	454230254	18494785	553313143
2	held-out/2/1926	ir	17444719	82530	5072821
2	held-out/2/1926	cfg	40151819	0	0
2	held-out/2/1926	emission_exclusive	613370398	27945968	912727388
2	held-out/2/1926	serialization	29246688	220202	9697577
2	held-out/2/1926	combined	700213884	28248700	927497786
2	held-out/3/1522	ir	10675206	65232	4084603
2	held-out/3/1522	cfg	26232452	0	0
2	held-out/3/1522	emission_exclusive	494701205	22521884	689253645
2	held-out/3/1522	serialization	27422034	217441	5486733
2	held-out/3/1522	combined	559031067	22804557	698824981
2	held-out/4/1795	ir	15180403	76917	4752440
2	held-out/4/1795	cfg	48615398	0	0
2	held-out/4/1795	emission_exclusive	583028940	26240065	879031426
2	held-out/4/1795	serialization	29544802	225814	9731046
2	held-out/4/1795	combined	676369813	26542796	893514912
2	held-out/5/1361	ir	8481324	58326	3690410
2	held-out/5/1361	cfg	22773185	0	0
2	held-out/5/1361	emission_exclusive	529680071	23959424	695331305
2	held-out/5/1361	serialization	30101094	237221	5604198
2	held-out/5/1361	combined	591035895	24254971	704625913
3	held-out/0/1579	ir	12774980	67669	4223136
3	held-out/0/1579	cfg	33715115	0	0
3	held-out/0/1579	emission_exclusive	502925373	23290663	720874044
3	held-out/0/1579	serialization	27801322	219465	5497019
3	held-out/0/1579	combined	577217080	23577797	730594199
3	held-out/1/1206	ir	6857770	51696	3311537
3	held-out/1/1206	cfg	12292647	0	0
3	held-out/1/1206	emission_exclusive	402818714	18231904	544553159
3	held-out/1/1206	serialization	25925752	211185	5448447
3	held-out/1/1206	combined	447895063	18494785	553313143
3	held-out/2/1926	ir	17560789	82530	5072821
3	held-out/2/1926	cfg	38832101	0	0
3	held-out/2/1926	emission_exclusive	614753757	27945968	912727388
3	held-out/2/1926	serialization	29446045	220202	9697577
3	held-out/2/1926	combined	700592842	28248700	927497786
3	held-out/3/1522	ir	9726900	65232	4084603
