run	case	phase	nanos	alloc_count	alloc_bytes
0	held-out/0/1579	ir	12856705	67669	4223136
0	held-out/0/1579	cfg	34547150	0	0
0	held-out/0/1579	emission_exclusive	513086323	23867945	722357926
0	held-out/0/1579	serialization	26129718	219465	5497019
0	held-out/0/1579	combined	586623342	24155079	732078081
0	held-out/1/1206	ir	6710451	51696	3311537
0	held-out/1/1206	cfg	12608975	0	0
0	held-out/1/1206	emission_exclusive	411354549	18817244	546056101
0	held-out/1/1206	serialization	24389333	211185	5448447
0	held-out/1/1206	combined	455063489	19080125	554816085
0	held-out/2/1926	ir	17474656	82530	5072821
0	held-out/2/1926	cfg	39649007	0	0
0	held-out/2/1926	emission_exclusive	622281354	28682029	914605785
0	held-out/2/1926	serialization	27174706	220202	9697577
0	held-out/2/1926	combined	706579863	28984761	929376183
0	held-out/3/1522	ir	10972519	65232	4084603
0	held-out/3/1522	cfg	25978451	0	0
0	held-out/3/1522	emission_exclusive	504507676	23105478	690751395
0	held-out/3/1522	serialization	25449670	217441	5486733
0	held-out/3/1522	combined	566908476	23388151	700322731
0	held-out/4/1795	ir	15048824	76917	4752440
0	held-out/4/1795	cfg	49261961	0	0
0	held-out/4/1795	emission_exclusive	587810139	26896107	880716246
0	held-out/4/1795	serialization	27182369	225814	9731046
0	held-out/4/1795	combined	679303433	27198838	895199732
0	held-out/5/1361	ir	8651095	58326	3690410
0	held-out/5/1361	cfg	22821596	0	0
0	held-out/5/1361	emission_exclusive	537444548	24750848	697356255
0	held-out/5/1361	serialization	27486065	237221	5604198
0	held-out/5/1361	combined	596403474	25046395	706650863
1	held-out/0/1579	ir	12959891	67669	4223136
1	held-out/0/1579	cfg	36126930	0	0
1	held-out/0/1579	emission_exclusive	507961654	23867945	722357926
1	held-out/0/1579	serialization	26138684	219465	5497019
1	held-out/0/1579	combined	583190936	24155079	732078081
1	held-out/1/1206	ir	6972046	51696	3311537
1	held-out/1/1206	cfg	12799216	0	0
1	held-out/1/1206	emission_exclusive	415141127	18817244	546056101
1	held-out/1/1206	serialization	24442684	211185	5448447
1	held-out/1/1206	combined	459355233	19080125	554816085
1	held-out/2/1926	ir	17997585	82530	5072821
1	held-out/2/1926	cfg	39946470	0	0
1	held-out/2/1926	emission_exclusive	622102786	28682029	914605785
1	held-out/2/1926	serialization	27339407	220202	9697577
1	held-out/2/1926	combined	707386419	28984761	929376183
