scope	phase_or_case	reference_allocation_count	current_allocation_count	count_delta	count_delta_share	reference_allocated_bytes	current_allocated_bytes	byte_delta	byte_delta_share	current_peak_live_bytes
phase	ir	989907	994250	4343	0.00007610	82613383	85918079	3304696	0.00018808	10093307
phase	cfg	172161	175508	3347	0.00005865	772235232	732366828	-39868404	-0.00226900	26986604
phase	emission_exclusive	275326615	319430070	44103455	0.77285981	3767126000	21297354097	17530228097	0.99768667	30230056
phase	serialization	2646648	15600734	12954086	0.22699944	111449076	188593267	77144191	0.00439044	8388608
phase	combined	279135331	336200562	57065231	1.00000000	4733423691	22304232271	17570808580	1.00000000	32036915
case	fan-in/1024/base	31583891	35363416	3779525	0.06623166	626721926	7606258112	6979536186	0.39722339	30170146
case	multi-exit/1024/base	37265193	41087314	3822121	0.06697810	732811571	7638415405	6905603834	0.39301571	30121488
case	irreducible/1024/base	106453035	124892900	18439865	0.32313660	1105008269	3930544166	2825535897	0.16080853	31588716
case	irreducible/256/base	39011350	60041917	21030567	0.36853556	426833346	940129010	513295664	0.02921298	14757556
case	irreducible/64/base	13825766	20448697	6622931	0.11605895	205592020	343591545	137999525	0.00785391	8034293
