product	metric_or_symbol	run_1_percent	run_2_percent	kind
1371e42	FuncEmitter::emit_with_provenance	84.93	84.88	children
1371e42	FuncEmitter::emit_block	63.73	63.99	children
1371e42	bench_spans::serialize_artifacts	4.47	4.33	children
1371e42	quality_from_artifacts	4.05	3.85	children
1371e42	apply_name_and_type_hints	4.45	4.49	children
1371e42	SipHasher::write	30.28	35.58	self
630ec44	FuncEmitter::emit_with_plan	72.50	72.29	children
630ec44	FuncEmitter::emit_block	39.89	40.06	children
630ec44	bench_spans::serialize_artifacts	15.87	15.83	children
630ec44	quality_from_artifacts	15.39	15.37	children
630ec44	apply_name_and_type_hints	15.55	15.43	children
630ec44	for_each_code_span	10.61	10.65	children
630ec44	compact_lines	10.59	10.35	children
630ec44	code_brace_counts	9.23	9.09	children
630ec44	rewrite_spans	8.16	8.23	children
630ec44	SipHasher::write	22.11	22.27	self
5ba4b6d	FuncEmitter::emit_with_plan	82.15	82.06	children
5ba4b6d	FuncEmitter::emit_block	49.17	49.12	children
5ba4b6d	bench_spans::serialize_artifacts	12.52	12.57	children
5ba4b6d	quality_from_artifacts	12.10	12.14	children
5ba4b6d	apply_name_and_type_hints	13.83	13.76	children
5ba4b6d	for_each_code_span	8.12	8.09	children
5ba4b6d	compact_lines	7.24	7.17	children
5ba4b6d	code_brace_counts	6.67	6.66	children
5ba4b6d	rewrite_spans	7.61	7.62	children
5ba4b6d	SipHasher::write	21.25	21.51	self
