sequence	kind	side	pair	position	start_epoch_ns	end_epoch_ns	start_iso	end_iso	artifact
0	warmup	reference	-	-	1787407625529790965	1787407665203150278	2026-08-22T10:07:05,530558869-04:00	2026-08-22T10:07:45,204120574-04:00	warmup-reference.json
1	warmup	candidate	-	-	1787407665205095340	1787407737221464973	2026-08-22T10:07:45,205724291-04:00	2026-08-22T10:08:57,222190627-04:00	warmup-candidate.json
2	measured	reference	0	first	1787407737222956757	1787407745470228657	2026-08-22T10:08:57,223545461-04:00	2026-08-22T10:09:05,471001861-04:00	raw/reference-0.json
3	measured	candidate	0	second	1787407745471755066	1787407760769687169	2026-08-22T10:09:05,472370952-04:00	2026-08-22T10:09:20,770577515-04:00	raw/candidate-0.json
4	measured	candidate	1	first	1787407760771451920	1787407775924800151	2026-08-22T10:09:20,772037288-04:00	2026-08-22T10:09:35,925468697-04:00	raw/candidate-1.json
5	measured	reference	1	second	1787407775926259033	1787407784174331498	2026-08-22T10:09:35,927054499-04:00	2026-08-22T10:09:44,175217395-04:00	raw/reference-1.json
6	measured	reference	2	first	1787407784175922469	1787407792415789249	2026-08-22T10:09:44,176540409-04:00	2026-08-22T10:09:52,416668373-04:00	raw/reference-2.json
7	measured	candidate	2	second	1787407792417595478	1787407807639790508	2026-08-22T10:09:52,418262010-04:00	2026-08-22T10:10:07,640646779-04:00	raw/candidate-2.json
8	measured	candidate	3	first	1787407807641415504	1787407822893181817	2026-08-22T10:10:07,641996144-04:00	2026-08-22T10:10:22,893912150-04:00	raw/candidate-3.json
9	measured	reference	3	second	1787407822894806372	1787407831157322116	2026-08-22T10:10:22,895419783-04:00	2026-08-22T10:10:31,158213874-04:00	raw/reference-3.json
10	measured	reference	4	first	1787407831159054285	1787407839427835705	2026-08-22T10:10:31,159669560-04:00	2026-08-22T10:10:39,428547102-04:00	raw/reference-4.json
11	measured	candidate	4	second	1787407839429372284	1787407854634597281	2026-08-22T10:10:39,430154946-04:00	2026-08-22T10:10:54,635273651-04:00	raw/candidate-4.json
12	measured	candidate	5	first	1787407854636104544	1787407869884899035	2026-08-22T10:10:54,636685914-04:00	2026-08-22T10:11:09,885795622-04:00	raw/candidate-5.json
13	measured	reference	5	second	1787407869886838626	1787407878166497354	2026-08-22T10:11:09,887455334-04:00	2026-08-22T10:11:18,167287089-04:00	raw/reference-5.json
14	measured	reference	6	first	1787407878168125967	1787407886428418034	2026-08-22T10:11:18,168742744-04:00	2026-08-22T10:11:26,429110525-04:00	raw/reference-6.json
15	measured	candidate	6	second	1787407886429906332	1787407901765597317	2026-08-22T10:11:26,430500677-04:00	2026-08-22T10:11:41,766508963-04:00	raw/candidate-6.json
16	measured	candidate	7	first	1787407901767462287	1787407917056150556	2026-08-22T10:11:41,768105996-04:00	2026-08-22T10:11:57,057052133-04:00	raw/candidate-7.json
17	measured	reference	7	second	1787407917057905949	1787407925357241675	2026-08-22T10:11:57,058515102-04:00	2026-08-22T10:12:05,358018796-04:00	raw/reference-7.json
18	measured	reference	8	first	1787407925358752825	1787407933637333018	2026-08-22T10:12:05,359400301-04:00	2026-08-22T10:12:13,638110700-04:00	raw/reference-8.json
19	measured	candidate	8	second	1787407933638809583	1787407948844262568	2026-08-22T10:12:13,639414398-04:00	2026-08-22T10:12:28,845028968-04:00	raw/candidate-8.json
20	measured	candidate	9	first	1787407948845752338	1787407964093053760	2026-08-22T10:12:28,846520632-04:00	2026-08-22T10:12:44,093956760-04:00	raw/candidate-9.json
21	measured	reference	9	second	1787407964094713392	1787407972350265866	2026-08-22T10:12:44,095293180-04:00	2026-08-22T10:12:52,351115034-04:00	raw/reference-9.json
22	measured	reference	10	first	1787407972351955244	1787407980575352699	2026-08-22T10:12:52,352547335-04:00	2026-08-22T10:13:00,576297016-04:00	raw/reference-10.json
23	measured	candidate	10	second	1787407980577125043	1787407996025942506	2026-08-22T10:13:00,577870664-04:00	2026-08-22T10:13:16,026777367-04:00	raw/candidate-10.json
24	measured	candidate	11	first	1787407996027736472	1787408011321090842	2026-08-22T10:13:16,028372586-04:00	2026-08-22T10:13:31,321793131-04:00	raw/candidate-11.json
25	measured	reference	11	second	1787408011322692053	1787408019604508214	2026-08-22T10:13:31,323424830-04:00	2026-08-22T10:13:39,605235320-04:00	raw/reference-11.json
26	measured	reference	12	first	1787408019606142327	1787408027888609424	2026-08-22T10:13:39,606740539-04:00	2026-08-22T10:13:47,889430889-04:00	raw/reference-12.json
27	measured	candidate	12	second	1787408027890125885	1787408043115671962	2026-08-22T10:13:47,890930928-04:00	2026-08-22T10:14:03,116487426-04:00	raw/candidate-12.json
28	measured	candidate	13	first	1787408043117227888	1787408058273280620	2026-08-22T10:14:03,117922683-04:00	2026-08-22T10:14:18,274107254-04:00	raw/candidate-13.json
29	measured	reference	13	second	1787408058274786550	1787408066508171091	2026-08-22T10:14:18,275365736-04:00	2026-08-22T10:14:26,509026991-04:00	raw/reference-13.json
30	measured	reference	14	first	1787408066509885536	1787408074763542518	2026-08-22T10:14:26,510490010-04:00	2026-08-22T10:14:34,764431120-04:00	raw/reference-14.json
31	measured	candidate	14	second	1787408074765206828	1787408089956058007	2026-08-22T10:14:34,765823455-04:00	2026-08-22T10:14:49,956728737-04:00	raw/candidate-14.json
32	resource	reference	-	-	1787408089958042684	1787408127490422867	2026-08-22T10:14:49,958646186-04:00	2026-08-22T10:15:27,491211480-04:00	resource/reference.json
33	resource	candidate	-	-	1787408127492150708	1787408193764607167	2026-08-22T10:15:27,492900858-04:00	2026-08-22T10:16:33,765338180-04:00	resource/candidate.json
