run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	155594	3028	242734
0	linear/64/base	cfg	116310	0	0
0	linear/64/base	emission_exclusive	3861424	141069	2706647
0	linear/64/base	serialization	1661142	12095	343963
0	linear/64/base	combined	5798207	156192	3293344
0	linear/64/light	ir	143191	3435	260912
0	linear/64/light	cfg	92164	0	0
0	linear/64/light	emission_exclusive	4084577	156996	2919214
0	linear/64/light	serialization	1658477	12095	343579
0	linear/64/light	combined	5978509	172526	3523705
0	linear/64/heavy	ir	487311	9642	918801
0	linear/64/heavy	cfg	92976	0	0
0	linear/64/heavy	emission_exclusive	11761607	327679	8558383
0	linear/64/heavy	serialization	5935447	12097	1170021
0	linear/64/heavy	combined	18277481	349418	10647205
0	linear/256/base	ir	663525	12105	976591
0	linear/256/base	cfg	1369380	0	0
0	linear/256/base	emission_exclusive	14966580	558915	13984968
0	linear/256/base	serialization	6813958	47425	1348585
0	linear/256/base	combined	23813603	618445	16310144
0	linear/256/light	ir	747794	13726	1047185
0	linear/256/light	cfg	1036471	0	0
0	linear/256/light	emission_exclusive	16245218	623473	14855098
0	linear/256/light	serialization	6759615	47425	1347145
0	linear/256/light	combined	24789258	684624	17249428
0	linear/256/heavy	ir	2740514	38558	3680178
0	linear/256/heavy	cfg	1267868	0	0
0	linear/256/heavy	emission_exclusive	46392110	1302586	37372958
0	linear/256/heavy	serialization	24692285	47427	4652979
0	linear/256/heavy	combined	75092978	1388571	45706115
0	linear/1024/base	ir	6071104	48407	3919512
0	linear/1024/base	cfg	23051171	0	0
0	linear/1024/base	emission_exclusive	59209153	2230202	107798138
0	linear/1024/base	serialization	27111882	188739	5367391
0	linear/1024/base	combined	115443491	2467348	117085041
0	linear/1024/light	ir	7302282	54892	4202074
0	linear/1024/light	cfg	22003740	0	0
0	linear/1024/light	emission_exclusive	63972473	2489279	111299748
0	linear/1024/light	serialization	26908938	188739	5361727
0	linear/1024/light	combined	120187623	2732910	120863549
0	linear/1024/heavy	ir	26995472	154220	14733947
0	linear/1024/heavy	cfg	22263491	0	0
0	linear/1024/heavy	emission_exclusive	184722041	5202248	201349413
0	linear/1024/heavy	serialization	98088654	188741	18585129
0	linear/1024/heavy	combined	332070218	5545209	234668489
0	diamond-chain/64/base	ir	127531	3034	243989
0	diamond-chain/64/base	cfg	108064	0	0
0	diamond-chain/64/base	emission_exclusive	5708538	231493	4065232
0	diamond-chain/64/base	serialization	1985696	17983	375113
0	diamond-chain/64/base	combined	7929969	252510	4684334
0	diamond-chain/64/light	ir	138542	3441	262167
0	diamond-chain/64/light	cfg	105249	0	0
0	diamond-chain/64/light	emission_exclusive	5890232	250831	4334968
0	diamond-chain/64/light	serialization	1963564	17983	374729
0	diamond-chain/64/light	combined	8097707	272255	4971864
0	diamond-chain/64/heavy	ir	389657	9648	920056
0	diamond-chain/64/heavy	cfg	104648	0	0
0	diamond-chain/64/heavy	emission_exclusive	15639381	508346	11500785
0	diamond-chain/64/heavy	serialization	6353328	17985	1201171
0	diamond-chain/64/heavy	combined	22487134	535979	13622012
0	diamond-chain/256/base	ir	684405	12115	981974
0	diamond-chain/256/base	cfg	1219085	0	0
0	diamond-chain/256/base	emission_exclusive	22136492	918895	19024508
0	diamond-chain/256/base	serialization	7872029	70977	1473143
0	diamond-chain/256/base	combined	31912132	1001987	21479625
0	diamond-chain/256/light	ir	768393	13736	1052568
0	diamond-chain/256/light	cfg	1206713	0	0
0	diamond-chain/256/light	emission_exclusive	23484059	997534	20129071
0	diamond-chain/256/light	serialization	7795896	70977	1471703
0	diamond-chain/256/light	combined	33255202	1082247	22653342
0	diamond-chain/256/heavy	ir	2424105	38568	3685561
0	diamond-chain/256/heavy	cfg	1220869	0	0
0	diamond-chain/256/heavy	emission_exclusive	62146851	2025943	48781659
0	diamond-chain/256/heavy	serialization	25314592	70979	4777537
0	diamond-chain/256/heavy	combined	91106577	2135490	57244757
0	diamond-chain/1024/base	ir	6262315	48421	3941407
0	diamond-chain/1024/base	cfg	21309176	0	0
0	diamond-chain/1024/base	emission_exclusive	88978984	3669904	122056666
0	diamond-chain/1024/base	serialization	31303931	282947	5865581
0	diamond-chain/1024/base	combined	147854716	4001272	131863654
0	diamond-chain/1024/light	ir	7729810	54906	4223969
0	diamond-chain/1024/light	cfg	18721641	0	0
0	diamond-chain/1024/light	emission_exclusive	94414184	3985751	126502213
0	diamond-chain/1024/light	serialization	30884227	282947	5859917
0	diamond-chain/1024/light	combined	151750164	4323604	136586099
0	diamond-chain/1024/heavy	ir	24605681	154234	14755842
0	diamond-chain/1024/heavy	cfg	20563366	0	0
0	diamond-chain/1024/heavy	emission_exclusive	252688178	8097872	241118926
0	diamond-chain/1024/heavy	serialization	97510620	282949	19083319
0	diamond-chain/1024/heavy	combined	395368105	8535055	274958087
0	fan-in/64/base	ir	133573	3037	245602
0	fan-in/64/base	cfg	73459	0	0
0	fan-in/64/base	emission_exclusive	28970207	374268	8939705
0	fan-in/64/base	serialization	5310074	23503	435723
0	fan-in/64/base	combined	34487443	400808	9621030
0	fan-in/256/base	ir	705245	12146	989027
0	fan-in/256/base	cfg	589435	0	0
0	fan-in/256/base	emission_exclusive	114323501	3859848	126846162
0	fan-in/256/base	serialization	16841035	169876	2042196
0	fan-in/256/base	combined	132459396	4041870	129877385
0	fan-in/1024/base	ir	6908478	48577	3970228
0	fan-in/1024/base	cfg	10490523	0	0
0	fan-in/1024/base	emission_exclusive	1362681692	34794349	7595062897
0	fan-in/1024/base	serialization	51680373	520490	7224987
0	fan-in/1024/base	combined	1431761266	35363416	7606258112
0	nested-loop/64/base	ir	127621	3030	242919
0	nested-loop/64/base	cfg	183537	0	0
0	nested-loop/64/base	emission_exclusive	4563813	158337	3276009
0	nested-loop/64/base	serialization	1913419	13199	350851
0	nested-loop/64/base	combined	6788500	174566	3869779
0	nested-loop/256/base	ir	660379	12107	976776
0	nested-loop/256/base	cfg	2320269	0	0
0	nested-loop/256/base	emission_exclusive	17230180	609282	17739490
0	nested-loop/256/base	serialization	7396811	48529	1358545
0	nested-loop/256/base	combined	27607750	669918	20074811
0	nested-loop/1024/base	ir	6213052	48409	3919697
0	nested-loop/1024/base	cfg	36470834	0	0
0	nested-loop/1024/base	emission_exclusive	68898782	2412930	150833496
0	nested-loop/1024/base	serialization	29156680	189843	5389639
0	nested-loop/1024/base	combined	140739638	2651182	160142832
0	multi-exit/64/base	ir	133062	3016	245428
0	multi-exit/64/base	cfg	82346	0	0
0	multi-exit/64/base	emission_exclusive	30147042	1057389	21519340
0	multi-exit/64/base	serialization	8174132	46595	571928
0	multi-exit/64/base	combined	38536692	1107000	22336696
0	multi-exit/256/base	ir	705505	12121	987957
0	multi-exit/256/base	cfg	619562	0	0
0	multi-exit/256/base	emission_exclusive	145692005	5528355	156537191
0	multi-exit/256/base	serialization	17950914	175764	2081470
0	multi-exit/256/base	combined	164968146	5716240	159606618
0	multi-exit/1024/base	ir	7118735	48551	3969150
0	multi-exit/1024/base	cfg	8036060	0	0
0	multi-exit/1024/base	emission_exclusive	1476672567	40518273	7627205666
0	multi-exit/1024/base	serialization	53723758	520490	7240589
0	multi-exit/1024/base	combined	1545551310	41087314	7638415405
0	no-exit/64/base	ir	125086	3038	243015
0	no-exit/64/base	cfg	51628	0	0
0	no-exit/64/base	emission_exclusive	4113902	145796	2690230
0	no-exit/64/base	serialization	1813109	12279	345439
0	no-exit/64/base	combined	6103846	161113	3278684
0	no-exit/256/base	ir	668755	12115	976872
0	no-exit/256/base	cfg	456533	0	0
0	no-exit/256/base	emission_exclusive	15922247	579032	12306974
0	no-exit/256/base	serialization	7089300	47609	1351595
0	no-exit/256/base	combined	24136965	638756	14635441
0	no-exit/1024/base	ir	6041768	48417	3919793
0	no-exit/1024/base	cfg	6570179	0	0
0	no-exit/1024/base	emission_exclusive	63361316	2311883	75143627
0	no-exit/1024/base	serialization	28210951	188923	5376543
0	no-exit/1024/base	combined	104184344	2549223	84439963
0	irreducible/64/base	ir	124225	3034	244691
0	irreducible/64/base	cfg	88828	0	0
0	irreducible/64/base	emission_exclusive	878464461	17975789	328347260
0	irreducible/64/base	serialization	259276019	2469874	14999594
0	irreducible/64/base	combined	1137953693	20448697	343591545
0	irreducible/256/base	ir	718028	12115	984788
0	irreducible/256/base	cfg	1194940	0	0
0	irreducible/256/base	emission_exclusive	2285657523	55712290	912331739
0	irreducible/256/base	serialization	452345699	4317512	26812483
0	irreducible/256/base	combined	2739916461	60041917	940129010
0	irreducible/1024/base	ir	6387011	48421	3952669
0	irreducible/1024/base	cfg	18530671	0	0
0	irreducible/1024/base	emission_exclusive	5030876526	119848741	3892582544
0	irreducible/1024/base	serialization	511449365	4995738	34008953
0	irreducible/1024/base	combined	5567243784	124892900	3930544166
