run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	141398	3008	229014
0	linear/64/base	cfg	115719	0	0
0	linear/64/base	emission_exclusive	3445923	132901	2319001
0	linear/64/base	serialization	1183631	12094	341915
0	linear/64/base	combined	4886911	148003	2889930
0	linear/64/light	ir	123423	3415	247192
0	linear/64/light	cfg	88277	0	0
0	linear/64/light	emission_exclusive	3607509	147950	2532872
0	linear/64/light	serialization	1251458	12094	341531
0	linear/64/light	combined	5070787	163459	3121595
0	linear/64/heavy	ir	473607	9622	905081
0	linear/64/heavy	cfg	88979	0	0
0	linear/64/heavy	emission_exclusive	10154049	304273	7017602
0	linear/64/heavy	serialization	4306923	12096	1167973
0	linear/64/heavy	combined	15023708	325991	9090656
0	linear/256/base	ir	609794	12035	920903
0	linear/256/base	cfg	1401393	0	0
0	linear/256/base	emission_exclusive	12940393	526712	12403352
0	linear/256/base	serialization	4696310	47424	1346537
0	linear/256/base	combined	19648041	586171	14670792
0	linear/256/light	ir	692831	13656	991497
0	linear/256/light	cfg	1216783	0	0
0	linear/256/light	emission_exclusive	14025017	587752	13275990
0	linear/256/light	serialization	4726347	47424	1345097
0	linear/256/light	combined	20661108	648832	15612584
0	linear/256/heavy	ir	2551659	38488	3624490
0	linear/256/heavy	cfg	1131161	0	0
0	linear/256/heavy	emission_exclusive	40324288	1209433	31175155
0	linear/256/heavy	serialization	16860415	47426	4650931
0	linear/256/heavy	combined	60867663	1295347	39450576
0	linear/1024/base	ir	5577227	48137	3687888
0	linear/1024/base	cfg	22789167	0	0
0	linear/1024/base	emission_exclusive	51816760	2101884	101426946
0	linear/1024/base	serialization	18767854	188738	5365343
0	linear/1024/base	combined	98951269	2338759	110480177
0	linear/1024/light	ir	7029215	54622	3970450
0	linear/1024/light	cfg	21383005	0	0
0	linear/1024/light	emission_exclusive	55569435	2346883	104935712
0	linear/1024/light	serialization	19142644	188738	5359679
0	linear/1024/light	combined	103124529	2590243	114265841
0	linear/1024/heavy	ir	26772015	153950	14502323
0	linear/1024/heavy	cfg	21662654	0	0
0	linear/1024/heavy	emission_exclusive	162858087	4830132	176508472
0	linear/1024/heavy	serialization	67065284	188740	18583081
0	linear/1024/heavy	combined	278358350	5172822	209593876
0	diamond-chain/64/base	ir	116551	3014	230397
0	diamond-chain/64/base	cfg	103826	0	0
0	diamond-chain/64/base	emission_exclusive	5200604	225845	3714034
0	diamond-chain/64/base	serialization	1416161	17982	373065
0	diamond-chain/64/base	combined	6837272	246841	4317496
0	diamond-chain/64/light	ir	127962	3421	248575
0	diamond-chain/64/light	cfg	101682	0	0
0	diamond-chain/64/light	emission_exclusive	5455086	242545	3960954
0	diamond-chain/64/light	serialization	1403016	17982	372681
0	diamond-chain/64/light	combined	7087836	263948	4582210
0	diamond-chain/64/heavy	ir	383806	9628	906464
0	diamond-chain/64/heavy	cfg	99809	0	0
0	diamond-chain/64/heavy	emission_exclusive	13895222	486163	9978456
0	diamond-chain/64/heavy	serialization	4317513	17984	1199123
0	diamond-chain/64/heavy	combined	18696460	513775	12084043
0	diamond-chain/256/base	ir	636615	12045	926798
0	diamond-chain/256/base	cfg	1205331	0	0
