case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
linear/64/base	ir	3028	242734	168649	88731648
linear/64/base	cfg	578	304344	119680	88731648
linear/64/base	emission_exclusive	140491	2402303	73757	88731648
linear/64/base	serialization	12095	343963	131072	88731648
linear/64/base	combined	156192	3293344	233391	88731648
linear/64/light	ir	3435	260912	185674	88731648
linear/64/light	cfg	578	304344	119680	88731648
linear/64/light	emission_exclusive	156418	2614870	73408	88731648
linear/64/light	serialization	12095	343579	131072	88731648
linear/64/light	combined	172526	3523705	235089	88731648
linear/64/heavy	ir	9642	918801	629675	88731648
linear/64/heavy	cfg	578	304344	119680	88731648
linear/64/heavy	emission_exclusive	327101	8254039	109839	88731648
linear/64/heavy	serialization	12097	1170021	524288	88731648
linear/64/heavy	combined	349418	10647205	873239	88731648
linear/256/base	ir	12105	976591	678809	88731648
linear/256/base	cfg	2192	4461400	1731712	88731648
linear/256/base	emission_exclusive	556723	9523568	287371	88731648
linear/256/base	serialization	47425	1348585	524288	88731648
linear/256/base	combined	618445	16310144	2089531	88731648
linear/256/light	ir	13726	1047185	744794	88731648
linear/256/light	cfg	2192	4461400	1731712	88731648
linear/256/light	emission_exclusive	621281	10393698	286062	88731648
linear/256/light	serialization	47425	1347145	524288	88731648
linear/256/light	combined	684624	17249428	2097087	88731648
linear/256/heavy	ir	38558	3680178	2522235	88731648
linear/256/heavy	cfg	2192	4461400	1731712	88731648
linear/256/heavy	emission_exclusive	1300394	32911558	429437	88731648
linear/256/heavy	serialization	47427	4652979	2097152	88731648
linear/256/heavy	combined	1388571	45706115	3492855	88731648
linear/1024/base	ir	48407	3919512	2718745	88731648
linear/1024/base	cfg	8608	69749632	26980480	88731648
linear/1024/base	emission_exclusive	2221594	38048506	1145337	88731648
linear/1024/base	serialization	188739	5367391	2097152	88731648
linear/1024/base	combined	2467348	117085041	28407838	88731648
linear/1024/light	ir	54892	4202074	2982874	88731648
linear/1024/light	cfg	8608	69749632	26980480	88731648
linear/1024/light	emission_exclusive	2480671	41550116	1140204	88731648
linear/1024/light	serialization	188739	5361727	2097152	88731648
linear/1024/light	combined	2732910	120863549	28438066	88731648
