case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
linear/64/base	ir	3008	229014	160089	85852160
linear/64/base	cfg	556	302632	121128	85852160
linear/64/base	emission_exclusive	132345	2016369	40480	85852160
linear/64/base	serialization	12094	341915	131072	85852160
linear/64/base	combined	148003	2889930	222639	85852160
linear/64/light	ir	3415	247192	177114	85852160
linear/64/light	cfg	556	302632	121128	85852160
linear/64/light	emission_exclusive	147394	2230240	40132	85852160
linear/64/light	serialization	12094	341531	131072	85852160
linear/64/light	combined	163459	3121595	224337	85852160
linear/64/heavy	ir	9622	905081	621115	85852160
linear/64/heavy	cfg	556	302632	121128	85852160
linear/64/heavy	emission_exclusive	303717	6714970	93317	85852160
linear/64/heavy	serialization	12096	1167973	524288	85852160
linear/64/heavy	combined	325991	9090656	862487	85852160
linear/256/base	ir	12035	920903	643641	85852160
linear/256/base	cfg	2106	4453672	1737576	85852160
linear/256/base	emission_exclusive	524606	7949680	151711	85852160
linear/256/base	serialization	47424	1346537	524288	85852160
linear/256/base	combined	586171	14670792	2095363	85852160
linear/256/light	ir	13656	991497	709626	85852160
linear/256/light	cfg	2106	4453672	1737576	85852160
linear/256/light	emission_exclusive	585646	8822318	149945	85852160
linear/256/light	serialization	47424	1345097	524288	85852160
linear/256/light	combined	648832	15612584	2102919	85852160
linear/256/heavy	ir	38488	3624490	2487067	85852160
linear/256/heavy	cfg	2106	4453672	1737576	85852160
linear/256/heavy	emission_exclusive	1207327	26721483	364570	85852160
linear/256/heavy	serialization	47426	4650931	2097152	85852160
linear/256/heavy	combined	1295347	39450576	3449847	85852160
linear/1024/base	ir	48137	3687888	2577273	85852160
linear/1024/base	cfg	8264	69717736	27004008	85852160
linear/1024/base	emission_exclusive	2093620	31709210	602944	85852160
linear/1024/base	serialization	188738	5365343	2097152	85852160
linear/1024/base	combined	2338759	110480177	28431334	85852160
linear/1024/light	ir	54622	3970450	2841402	85852160
linear/1024/light	cfg	8264	69717736	27004008	85852160
linear/1024/light	emission_exclusive	2338619	35217976	596010	85852160
linear/1024/light	serialization	188738	5359679	2097152	85852160
linear/1024/light	combined	2590243	114265841	28461562	85852160
linear/1024/heavy	ir	153950	14502323	9951067	85970944
linear/1024/heavy	cfg	8264	69717736	27004008	85970944
linear/1024/heavy	emission_exclusive	4821868	106790736	1450075	85970944
linear/1024/heavy	serialization	188740	18583081	8388608	85970944
linear/1024/heavy	combined	5172822	209593876	32060411	85970944
diamond-chain/64/base	ir	3014	230397	160137	85970944
diamond-chain/64/base	cfg	784	273144	106184	85970944
diamond-chain/64/base	emission_exclusive	225061	3440890	76394	85970944
diamond-chain/64/base	serialization	17982	373065	131072	85970944
diamond-chain/64/base	combined	246841	4317496	223469	85970944
diamond-chain/64/light	ir	3421	248575	177162	85970944
diamond-chain/64/light	cfg	784	273144	106184	85970944
diamond-chain/64/light	emission_exclusive	241761	3687810	76121	85970944
