run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	146507	3026	240174
0	linear/64/base	cfg	119075	0	0
0	linear/64/base	emission_exclusive	3880486	140898	2638299
0	linear/64/base	serialization	1824623	12094	341915
0	linear/64/base	combined	5973828	156018	3220388
0	linear/64/light	ir	134665	3433	258352
0	linear/64/light	cfg	98676	0	0
0	linear/64/light	emission_exclusive	4094180	156825	2850866
0	linear/64/light	serialization	1801159	12094	341531
0	linear/64/light	combined	6128790	172352	3450749
0	linear/64/heavy	ir	997939	9640	916241
0	linear/64/heavy	cfg	144964	0	0
0	linear/64/heavy	emission_exclusive	12789807	327508	8490035
0	linear/64/heavy	serialization	6601335	12096	1167973
0	linear/64/heavy	combined	20534285	349244	10574249
0	linear/256/base	ir	629322	12103	966351
0	linear/256/base	cfg	1377958	0	0
0	linear/256/base	emission_exclusive	14742193	558295	13665132
0	linear/256/base	serialization	7041098	47424	1346537
0	linear/256/base	combined	23790701	617822	15978020
0	linear/256/light	ir	705806	13724	1036945
0	linear/256/light	cfg	1054565	0	0
0	linear/256/light	emission_exclusive	16177901	622853	14535262
0	linear/256/light	serialization	7346736	47424	1345097
0	linear/256/light	combined	25285148	684001	16917304
0	linear/256/heavy	ir	2916540	38556	3669938
0	linear/256/heavy	cfg	1289661	0	0
0	linear/256/heavy	emission_exclusive	47706105	1301966	37053122
0	linear/256/heavy	serialization	27448604	47426	4650931
0	linear/256/heavy	combined	79361141	1387948	45373991
0	linear/1024/base	ir	5526651	48405	3878552
0	linear/1024/base	cfg	23562929	0	0
0	linear/1024/base	emission_exclusive	60369924	2227809	106466310
0	linear/1024/base	serialization	29790325	188738	5365343
0	linear/1024/base	combined	119250070	2464952	115710205
0	linear/1024/light	ir	6790592	54890	4161114
0	linear/1024/light	cfg	22858284	0	0
0	linear/1024/light	emission_exclusive	64439788	2486886	109967920
0	linear/1024/light	serialization	29433751	188738	5359679
0	linear/1024/light	combined	123522546	2730514	119488713
0	linear/1024/heavy	ir	26681672	154218	14692987
0	linear/1024/heavy	cfg	22344683	0	0
0	linear/1024/heavy	emission_exclusive	191429726	5199855	200017585
0	linear/1024/heavy	serialization	109817256	188740	18583081
0	linear/1024/heavy	combined	350273547	5542813	233293653
0	diamond-chain/64/base	ir	148671	3032	241429
0	diamond-chain/64/base	cfg	117833	0	0
0	diamond-chain/64/base	emission_exclusive	5819655	231315	3991572
0	diamond-chain/64/base	serialization	2179395	17982	373065
0	diamond-chain/64/base	combined	8265694	252329	4606066
0	diamond-chain/64/light	ir	140115	3439	259607
0	diamond-chain/64/light	cfg	110279	0	0
0	diamond-chain/64/light	emission_exclusive	6098002	250653	4261308
0	diamond-chain/64/light	serialization	2142525	17982	372681
0	diamond-chain/64/light	combined	8491032	272074	4893596
0	diamond-chain/64/heavy	ir	401991	9646	917496
0	diamond-chain/64/heavy	cfg	106561	0	0
0	diamond-chain/64/heavy	emission_exclusive	16046071	508168	11427125
0	diamond-chain/64/heavy	serialization	7010710	17984	1199123
0	diamond-chain/64/heavy	combined	23565453	535798	13543744
0	diamond-chain/256/base	ir	644460	12113	971734
0	diamond-chain/256/base	cfg	1272358	0	0
0	diamond-chain/256/base	emission_exclusive	22551434	918258	18682496
0	diamond-chain/256/base	serialization	8506140	70976	1471095
0	diamond-chain/256/base	combined	32974512	1001347	21125325
0	diamond-chain/256/light	ir	738508	13734	1042328
0	diamond-chain/256/light	cfg	1244074	0	0
0	diamond-chain/256/light	emission_exclusive	23895358	996897	19787059
0	diamond-chain/256/light	serialization	8415028	70976	1469655
0	diamond-chain/256/light	combined	34293098	1081607	22299042
0	diamond-chain/256/heavy	ir	2393349	38566	3675321
0	diamond-chain/256/heavy	cfg	1237993	0	0
0	diamond-chain/256/heavy	emission_exclusive	63453903	2025306	48439647
0	diamond-chain/256/heavy	serialization	29427648	70978	4775489
0	diamond-chain/256/heavy	combined	96513053	2134850	56890457
0	diamond-chain/1024/base	ir	5809546	48419	3900447
0	diamond-chain/1024/base	cfg	22373528	0	0
0	diamond-chain/1024/base	emission_exclusive	89986852	3667460	120635206
0	diamond-chain/1024/base	serialization	35359707	282946	5863533
0	diamond-chain/1024/base	combined	153529843	3998825	130399186
0	diamond-chain/1024/light	ir	6896524	54904	4183009
0	diamond-chain/1024/light	cfg	19335557	0	0
0	diamond-chain/1024/light	emission_exclusive	95512731	3983307	125080753
0	diamond-chain/1024/light	serialization	34822630	282946	5857869
0	diamond-chain/1024/light	combined	156567642	4321157	135121631
0	diamond-chain/1024/heavy	ir	24395876	154232	14714882
0	diamond-chain/1024/heavy	cfg	21662462	0	0
0	diamond-chain/1024/heavy	emission_exclusive	261753611	8095428	239697466
0	diamond-chain/1024/heavy	serialization	119241103	282948	19081271
0	diamond-chain/1024/heavy	combined	427053282	8532608	273493619
0	fan-in/64/base	ir	152910	3035	243042
0	fan-in/64/base	cfg	85081	0	0
0	fan-in/64/base	emission_exclusive	33717278	374084	8862989
0	fan-in/64/base	serialization	6548775	23502	433675
0	fan-in/64/base	combined	40504154	400621	9539706
0	fan-in/256/base	ir	679617	12144	978787
0	fan-in/256/base	cfg	609784	0	0
0	fan-in/256/base	emission_exclusive	108241833	3819139	76937446
0	fan-in/256/base	serialization	19235008	169875	2040148
0	fan-in/256/base	combined	128766402	4001158	79956381
0	fan-in/1024/base	ir	6302749	48575	3929268
0	fan-in/1024/base	cfg	11335065	0	0
0	fan-in/1024/base	emission_exclusive	872486139	33453456	663421693
0	fan-in/1024/base	serialization	59022163	520489	7222939
0	fan-in/1024/base	combined	949146698	34022520	674573900
0	nested-loop/64/base	ir	132761	3028	240359
0	nested-loop/64/base	cfg	187856	0	0
0	nested-loop/64/base	emission_exclusive	4742936	158164	3203533
0	nested-loop/64/base	serialization	2197490	13198	348803
0	nested-loop/64/base	combined	7261173	174390	3792695
0	nested-loop/256/base	ir	638058	12105	966536
0	nested-loop/256/base	cfg	2334298	0	0
0	nested-loop/256/base	emission_exclusive	17818415	608659	17402870
0	nested-loop/256/base	serialization	8437591	48528	1356497
0	nested-loop/256/base	combined	29228492	669292	19725903
0	nested-loop/1024/base	ir	5787284	48407	3878737
0	nested-loop/1024/base	cfg	40924149	0	0
0	nested-loop/1024/base	emission_exclusive	70143633	2410535	149436100
0	nested-loop/1024/base	serialization	33370181	189842	5387591
0	nested-loop/1024/base	combined	150225508	2648784	158702428
0	multi-exit/64/base	ir	129825	3014	242868
0	multi-exit/64/base	cfg	89239	0	0
0	multi-exit/64/base	emission_exclusive	31576085	1057206	21442992
0	multi-exit/64/base	serialization	9459084	46594	569880
0	multi-exit/64/base	combined	41254404	1106814	22255740
0	multi-exit/256/base	ir	683233	12119	977717
0	multi-exit/256/base	cfg	618841	0	0
0	multi-exit/256/base	emission_exclusive	140510009	5477133	106749130
0	multi-exit/256/base	serialization	20576365	175763	2079434
0	multi-exit/256/base	combined	162388689	5665015	109806281
0	multi-exit/1024/base	ir	6543475	48549	3928190
0	multi-exit/1024/base	cfg	12621229	0	0
0	multi-exit/1024/base	emission_exclusive	975243972	39137448	770432210
0	multi-exit/1024/base	serialization	60374573	520489	7238547
0	multi-exit/1024/base	combined	1054783470	39706486	781598947
0	no-exit/64/base	ir	126640	3036	240455
0	no-exit/64/base	cfg	54293	0	0
0	no-exit/64/base	emission_exclusive	4187355	145625	2621882
0	no-exit/64/base	serialization	2060691	12278	343391
0	no-exit/64/base	combined	6429149	160939	3205728
0	no-exit/256/base	ir	643097	12113	966632
0	no-exit/256/base	cfg	473015	0	0
0	no-exit/256/base	emission_exclusive	16116625	578412	11987138
0	no-exit/256/base	serialization	8055607	47608	1349547
0	no-exit/256/base	combined	25288464	638133	14303317
0	no-exit/1024/base	ir	5800209	48415	3878833
0	no-exit/1024/base	cfg	8936705	0	0
0	no-exit/1024/base	emission_exclusive	63771452	2309490	73811799
0	no-exit/1024/base	serialization	31943671	188922	5374495
0	no-exit/1024/base	combined	110452348	2546827	83065127
0	irreducible/64/base	ir	127691	3032	242131
0	irreducible/64/base	cfg	99308	0	0
0	irreducible/64/base	emission_exclusive	1224933599	20020919	375957323
0	irreducible/64/base	serialization	326641687	2739433	16602620
0	irreducible/64/base	combined	1551802615	22763384	392802074
0	irreducible/256/base	ir	693683	12113	974548
0	irreducible/256/base	cfg	1251028	0	0
0	irreducible/256/base	emission_exclusive	2415054161	50823127	727892844
0	irreducible/256/base	serialization	475266694	3945831	24608381
0	irreducible/256/base	combined	2892265906	54781071	753475773
0	irreducible/1024/base	ir	6054249	48419	3911709
0	irreducible/1024/base	cfg	19303607	0	0
0	irreducible/1024/base	emission_exclusive	3975260577	121441564	1430393117
0	irreducible/1024/base	serialization	578830410	5140545	34956339
0	irreducible/1024/base	combined	4579449073	126630528	1469261165
1	linear/64/base	ir	149914	3026	240174
1	linear/64/base	cfg	114116	0	0
1	linear/64/base	emission_exclusive	3904600	140898	2638299
1	linear/64/base	serialization	1819684	12094	341915
1	linear/64/base	combined	5992151	156018	3220388
1	linear/64/light	ir	134054	3433	258352
1	linear/64/light	cfg	99278	0	0
1	linear/64/light	emission_exclusive	4081575	156825	2850866
1	linear/64/light	serialization	1801651	12094	341531
1	linear/64/light	combined	6116678	172352	3450749
1	linear/64/heavy	ir	470400	9640	916241
1	linear/64/heavy	cfg	92715	0	0
1	linear/64/heavy	emission_exclusive	12215081	327508	8490035
1	linear/64/heavy	serialization	6924856	12096	1167973
1	linear/64/heavy	combined	19703203	349244	10574249
1	linear/256/base	ir	634811	12103	966351
1	linear/256/base	cfg	1366977	0	0
1	linear/256/base	emission_exclusive	15132022	558295	13665132
1	linear/256/base	serialization	7370520	47424	1346537
1	linear/256/base	combined	24504460	617822	15978020
1	linear/256/light	ir	702500	13724	1036945
1	linear/256/light	cfg	1117104	0	0
1	linear/256/light	emission_exclusive	16267260	622853	14535262
1	linear/256/light	serialization	7326677	47424	1345097
1	linear/256/light	combined	25413651	684001	16917304
1	linear/256/heavy	ir	2759273	38556	3669938
1	linear/256/heavy	cfg	1255466	0	0
1	linear/256/heavy	emission_exclusive	47868322	1301966	37053122
1	linear/256/heavy	serialization	27331631	47426	4650931
1	linear/256/heavy	combined	79214853	1387948	45373991
1	linear/1024/base	ir	5501433	48405	3878552
1	linear/1024/base	cfg	23426850	0	0
1	linear/1024/base	emission_exclusive	59737537	2227809	106466310
1	linear/1024/base	serialization	29699844	188738	5365343
1	linear/1024/base	combined	118365875	2464952	115710205
1	linear/1024/light	ir	6718416	54890	4161114
1	linear/1024/light	cfg	23096115	0	0
1	linear/1024/light	emission_exclusive	65473383	2486886	109967920
1	linear/1024/light	serialization	29826063	188738	5359679
1	linear/1024/light	combined	125114107	2730514	119488713
1	linear/1024/heavy	ir	26633861	154218	14692987
1	linear/1024/heavy	cfg	22200298	0	0
1	linear/1024/heavy	emission_exclusive	192087962	5199855	200017585
1	linear/1024/heavy	serialization	109359778	188740	18583081
1	linear/1024/heavy	combined	350282189	5542813	233293653
1	diamond-chain/64/base	ir	149643	3032	241429
1	diamond-chain/64/base	cfg	117132	0	0
1	diamond-chain/64/base	emission_exclusive	5711520	231315	3991572
1	diamond-chain/64/base	serialization	2165118	17982	373065
1	diamond-chain/64/base	combined	8143704	252329	4606066
1	diamond-chain/64/light	ir	135106	3439	259607
1	diamond-chain/64/light	cfg	108395	0	0
1	diamond-chain/64/light	emission_exclusive	6110957	250653	4261308
1	diamond-chain/64/light	serialization	2173574	17982	372681
1	diamond-chain/64/light	combined	8528162	272074	4893596
1	diamond-chain/64/heavy	ir	400768	9646	917496
1	diamond-chain/64/heavy	cfg	106151	0	0
1	diamond-chain/64/heavy	emission_exclusive	16118298	508168	11427125
1	diamond-chain/64/heavy	serialization	7060163	17984	1199123
1	diamond-chain/64/heavy	combined	23685510	535798	13543744
1	diamond-chain/256/base	ir	639811	12113	971734
1	diamond-chain/256/base	cfg	1292967	0	0
1	diamond-chain/256/base	emission_exclusive	22704945	918258	18682496
1	diamond-chain/256/base	serialization	8634021	70976	1471095
1	diamond-chain/256/base	combined	33271894	1001347	21125325
1	diamond-chain/256/light	ir	739751	13734	1042328
1	diamond-chain/256/light	cfg	1235729	0	0
1	diamond-chain/256/light	emission_exclusive	24187130	996897	19787059
1	diamond-chain/256/light	serialization	8482945	70976	1469655
1	diamond-chain/256/light	combined	34645685	1081607	22299042
1	diamond-chain/256/heavy	ir	2371088	38566	3675321
1	diamond-chain/256/heavy	cfg	1246769	0	0
1	diamond-chain/256/heavy	emission_exclusive	64488119	2025306	48439647
1	diamond-chain/256/heavy	serialization	28085868	70978	4775489
1	diamond-chain/256/heavy	combined	96191995	2134850	56890457
1	diamond-chain/1024/base	ir	5741758	48419	3900447
1	diamond-chain/1024/base	cfg	22661652	0	0
1	diamond-chain/1024/base	emission_exclusive	90421654	3667460	120635206
1	diamond-chain/1024/base	serialization	34251448	282946	5863533
1	diamond-chain/1024/base	combined	153076662	3998825	130399186
1	diamond-chain/1024/light	ir	6788039	54904	4183009
1	diamond-chain/1024/light	cfg	19688465	0	0
1	diamond-chain/1024/light	emission_exclusive	96418604	3983307	125080753
1	diamond-chain/1024/light	serialization	33795476	282946	5857869
1	diamond-chain/1024/light	combined	156690794	4321157	135121631
1	diamond-chain/1024/heavy	ir	24792025	154232	14714882
1	diamond-chain/1024/heavy	cfg	22148100	0	0
1	diamond-chain/1024/heavy	emission_exclusive	256023373	8095428	239697466
1	diamond-chain/1024/heavy	serialization	113049462	282948	19081271
1	diamond-chain/1024/heavy	combined	416013651	8532608	273493619
1	fan-in/64/base	ir	149914	3035	243042
1	fan-in/64/base	cfg	81494	0	0
1	fan-in/64/base	emission_exclusive	31181658	374084	8862989
1	fan-in/64/base	serialization	6202500	23502	433675
1	fan-in/64/base	combined	37615826	400621	9539706
1	fan-in/256/base	ir	677232	12144	978787
1	fan-in/256/base	cfg	628830	0	0
1	fan-in/256/base	emission_exclusive	106414734	3819139	76937446
1	fan-in/256/base	serialization	18430012	169875	2040148
1	fan-in/256/base	combined	126150960	4001158	79956381
1	fan-in/1024/base	ir	6735468	48575	3929268
1	fan-in/1024/base	cfg	11188507	0	0
1	fan-in/1024/base	emission_exclusive	859692895	33453456	663421693
1	fan-in/1024/base	serialization	55724752	520489	7222939
1	fan-in/1024/base	combined	933341822	34022520	674573900
1	nested-loop/64/base	ir	137620	3028	240359
1	nested-loop/64/base	cfg	188527	0	0
1	nested-loop/64/base	emission_exclusive	4610747	158164	3203533
