run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	144153	3008	229014
0	linear/64/base	cfg	115249	0	0
0	linear/64/base	emission_exclusive	3501527	132901	2319001
0	linear/64/base	serialization	1163111	12094	341915
0	linear/64/base	combined	4924391	148003	2889930
0	linear/64/light	ir	130477	3415	247192
0	linear/64/light	cfg	88297	0	0
0	linear/64/light	emission_exclusive	3687289	147950	2532872
0	linear/64/light	serialization	1205151	12094	341531
0	linear/64/light	combined	5111324	163459	3121595
0	linear/64/heavy	ir	468987	9622	905081
0	linear/64/heavy	cfg	88948	0	0
0	linear/64/heavy	emission_exclusive	10423750	304273	7017602
0	linear/64/heavy	serialization	4301422	12096	1167973
0	linear/64/heavy	combined	15283278	325991	9090656
0	linear/256/base	ir	616086	12035	920903
0	linear/256/base	cfg	1425337	0	0
0	linear/256/base	emission_exclusive	13503770	526712	12403352
0	linear/256/base	serialization	4751874	47424	1346537
0	linear/256/base	combined	20297237	586171	14670792
0	linear/256/light	ir	708762	13656	991497
0	linear/256/light	cfg	1293709	0	0
0	linear/256/light	emission_exclusive	14603651	587752	13275990
0	linear/256/light	serialization	4747866	47424	1345097
0	linear/256/light	combined	21354128	648832	15612584
0	linear/256/heavy	ir	2771105	38488	3624490
0	linear/256/heavy	cfg	1127044	0	0
0	linear/256/heavy	emission_exclusive	41729714	1209433	31175155
0	linear/256/heavy	serialization	16921928	47426	4650931
0	linear/256/heavy	combined	62549931	1295347	39450576
0	linear/1024/base	ir	5566296	48137	3687888
0	linear/1024/base	cfg	22971670	0	0
0	linear/1024/base	emission_exclusive	53690332	2101884	101426946
0	linear/1024/base	serialization	19195071	188738	5365343
0	linear/1024/base	combined	101423890	2338759	110480177
0	linear/1024/light	ir	7044334	54622	3970450
0	linear/1024/light	cfg	21814480	0	0
0	linear/1024/light	emission_exclusive	59452057	2346883	104935712
0	linear/1024/light	serialization	19166968	188738	5359679
0	linear/1024/light	combined	107478179	2590243	114265841
0	linear/1024/heavy	ir	26769949	153950	14502323
0	linear/1024/heavy	cfg	21634840	0	0
0	linear/1024/heavy	emission_exclusive	166970072	4830132	176508472
0	linear/1024/heavy	serialization	65928355	188740	18583081
0	linear/1024/heavy	combined	281303647	5172822	209593876
0	diamond-chain/64/base	ir	116410	3014	230397
0	diamond-chain/64/base	cfg	102234	0	0
0	diamond-chain/64/base	emission_exclusive	5336841	225845	3714034
0	diamond-chain/64/base	serialization	1424516	17982	373065
0	diamond-chain/64/base	combined	6980142	246841	4317496
0	diamond-chain/64/light	ir	128884	3421	248575
0	diamond-chain/64/light	cfg	101733	0	0
0	diamond-chain/64/light	emission_exclusive	5635065	242545	3960954
0	diamond-chain/64/light	serialization	1453692	17982	372681
0	diamond-chain/64/light	combined	7319474	263948	4582210
0	diamond-chain/64/heavy	ir	382414	9628	906464
0	diamond-chain/64/heavy	cfg	99698	0	0
0	diamond-chain/64/heavy	emission_exclusive	14330104	486163	9978456
0	diamond-chain/64/heavy	serialization	4475430	17984	1199123
0	diamond-chain/64/heavy	combined	19287776	513775	12084043
0	diamond-chain/256/base	ir	620184	12045	926798
0	diamond-chain/256/base	cfg	1224387	0	0
0	diamond-chain/256/base	emission_exclusive	20778539	897470	17597948
0	diamond-chain/256/base	serialization	5737571	70976	1471095
0	diamond-chain/256/base	combined	28360821	980491	19995841
0	diamond-chain/256/light	ir	724170	13666	997392
0	diamond-chain/256/light	cfg	1176898	0	0
0	diamond-chain/256/light	emission_exclusive	22082877	965199	18603715
0	diamond-chain/256/light	serialization	5593346	70976	1469655
0	diamond-chain/256/light	combined	29577452	1049841	21070762
0	diamond-chain/256/heavy	ir	2337775	38498	3630385
0	diamond-chain/256/heavy	cfg	1203528	0	0
0	diamond-chain/256/heavy	emission_exclusive	56646788	1938175	42664308
0	diamond-chain/256/heavy	serialization	16006507	70978	4775489
0	diamond-chain/256/heavy	combined	76194798	2047651	51070182
0	diamond-chain/1024/base	ir	5781643	48151	3711831
0	diamond-chain/1024/base	cfg	21795353	0	0
0	diamond-chain/1024/base	emission_exclusive	81650785	3585414	116314962
0	diamond-chain/1024/base	serialization	21066083	282946	5863533
0	diamond-chain/1024/base	combined	130294254	3916511	125890326
0	diamond-chain/1024/light	ir	7047840	54636	3994393
0	diamond-chain/1024/light	cfg	18810192	0	0
0	diamond-chain/1024/light	emission_exclusive	86706534	3857263	120357625
0	diamond-chain/1024/light	serialization	21109355	282946	5857869
0	diamond-chain/1024/light	combined	133674382	4194845	130209887
0	diamond-chain/1024/heavy	ir	24673020	153964	14526266
0	diamond-chain/1024/heavy	cfg	21420203	0	0
0	diamond-chain/1024/heavy	emission_exclusive	226223584	7747807	216606437
0	diamond-chain/1024/heavy	serialization	71737311	282948	19081271
0	diamond-chain/1024/heavy	combined	344054699	8184719	250213974
0	fan-in/64/base	ir	123844	3012	231834
0	fan-in/64/base	cfg	69762	0	0
0	fan-in/64/base	emission_exclusive	20593399	361039	7738269
0	fan-in/64/base	serialization	3807797	23502	433675
0	fan-in/64/base	combined	24594972	387553	8403778
0	fan-in/256/base	ir	672693	12041	932555
0	fan-in/256/base	cfg	547206	0	0
0	fan-in/256/base	emission_exclusive	79640820	3324668	63227648
0	fan-in/256/base	serialization	963895	8140	1101612
0	fan-in/256/base	combined	81824754	3344849	65261815
0	fan-in/1024/base	ir	6802716	48145	3734868
0	fan-in/1024/base	cfg	10693510	0	0
0	fan-in/1024/base	emission_exclusive	786859828	31527604	618738748
0	fan-in/1024/base	serialization	1803253	8142	4248310
0	fan-in/1024/base	combined	806159647	31583891	626721926
0	nested-loop/64/base	ir	117071	3009	229111
0	nested-loop/64/base	cfg	182114	0	0
0	nested-loop/64/base	emission_exclusive	4093218	149718	2837421
0	nested-loop/64/base	serialization	1278550	13198	348803
0	nested-loop/64/base	combined	5671123	165925	3415335
0	nested-loop/256/base	ir	623089	12036	921000
0	nested-loop/256/base	cfg	2273995	0	0
0	nested-loop/256/base	emission_exclusive	15219226	576567	15976260
0	nested-loop/256/base	serialization	4954337	48528	1356497
0	nested-loop/256/base	combined	23070817	637131	18253757
0	nested-loop/1024/base	ir	5685983	48138	3687985
