case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
linear/64/base	ir	3026	240174	167625	50724864
linear/64/base	cfg	1536	357343	119680	50724864
linear/64/base	emission_exclusive	140320	2333955	48350	50724864
linear/64/base	serialization	12094	341915	131072	50724864
linear/64/base	combined	156976	3273387	222639	50724864
linear/64/light	ir	3433	258352	184650	50724864
linear/64/light	cfg	1664	367424	119680	50724864
linear/64/light	emission_exclusive	156247	2546522	47880	50724864
linear/64/light	serialization	12094	341531	131072	50724864
linear/64/light	combined	173438	3513829	224337	50724864
linear/64/heavy	ir	9640	916241	628651	51642368
linear/64/heavy	cfg	3584	518625	214281	51642368
linear/64/heavy	emission_exclusive	326930	8185691	95590	51642368
linear/64/heavy	serialization	12096	1167973	524288	51642368
linear/64/heavy	combined	352250	10788530	862487	51642368
linear/256/base	ir	12103	966351	674713	52883456
linear/256/base	cfg	6030	4673495	1731712	52883456
linear/256/base	emission_exclusive	556103	9203732	188687	52883456
linear/256/base	serialization	47424	1346537	524288	52883456
linear/256/base	combined	621660	16190115	2089531	52883456
linear/256/light	ir	13724	1036945	740698	52883456
linear/256/light	cfg	6542	4713816	1731712	52883456
linear/256/light	emission_exclusive	620661	10073862	186921	52883456
linear/256/light	serialization	47424	1345097	524288	52883456
linear/256/light	combined	688351	17169720	2097087	52883456
linear/256/heavy	ir	38556	3669938	2518139	55619584
linear/256/heavy	cfg	14222	5318617	1731712	55619584
linear/256/heavy	emission_exclusive	1299774	32591722	375319	55619584
linear/256/heavy	serialization	47426	4650931	2097152	55619584
linear/256/heavy	combined	1399978	46231208	3449847	55619584
linear/1024/base	ir	48405	3878552	2702361	80003072
linear/1024/base	cfg	23966	70598111	26980480	80003072
linear/1024/base	emission_exclusive	2219201	36716678	750512	80003072
linear/1024/base	serialization	188738	5365343	2097152	80003072
linear/1024/base	combined	2480310	116558684	28407838	80003072
linear/1024/light	ir	54890	4161114	2966490	80293888
linear/1024/light	cfg	26014	70759392	26980480	80293888
linear/1024/light	emission_exclusive	2478278	40218288	743578	80293888
linear/1024/light	serialization	188738	5359679	2097152	80293888
linear/1024/light	combined	2747920	120498473	28438066	80293888
linear/1024/heavy	ir	154218	14692987	10076155	85757952
linear/1024/heavy	cfg	56734	73178593	26980480	85757952
linear/1024/heavy	emission_exclusive	5191247	130267953	1494728	85757952
linear/1024/heavy	serialization	188740	18583081	8388608	85757952
linear/1024/heavy	combined	5590939	236722614	32036915	85757952
diamond-chain/64/base	ir	3032	241429	167673	85757952
diamond-chain/64/base	cfg	1768	328767	104864	85757952
diamond-chain/64/base	emission_exclusive	230505	3716108	87320	85757952
diamond-chain/64/base	serialization	17982	373065	131072	85757952
diamond-chain/64/base	combined	253287	4659369	223469	85757952
diamond-chain/64/light	ir	3439	259607	184698	85757952
diamond-chain/64/light	cfg	1896	338848	104864	85757952
diamond-chain/64/light	emission_exclusive	249843	3985844	86925	85757952
diamond-chain/64/light	serialization	17982	372681	131072	85757952
diamond-chain/64/light	combined	273160	4956980	225167	85757952
diamond-chain/64/heavy	ir	9646	917496	628699	85757952
diamond-chain/64/heavy	cfg	3816	490049	214585	85757952
diamond-chain/64/heavy	emission_exclusive	507358	11151661	163887	85757952
diamond-chain/64/heavy	serialization	17984	1199123	524288	85757952
diamond-chain/64/heavy	combined	538804	13758329	863317	85757952
diamond-chain/256/base	ir	12113	971734	674905	85757952
diamond-chain/256/base	cfg	7402	4192839	1487648	85757952
diamond-chain/256/base	emission_exclusive	914694	14702968	344408	85757952
diamond-chain/256/base	serialization	70976	1471095	524288	85757952
diamond-chain/256/base	combined	1005185	21338636	1845696	85757952
diamond-chain/256/light	ir	13734	1042328	740890	85757952
diamond-chain/256/light	cfg	7914	4233160	1487648	85757952
diamond-chain/256/light	emission_exclusive	993333	15807531	342957	85757952
diamond-chain/256/light	serialization	70976	1469655	524288	85757952
diamond-chain/256/light	combined	1085957	22552674	1853252	85757952
diamond-chain/256/heavy	ir	38566	3675321	2518331	85757952
diamond-chain/256/heavy	cfg	15594	4837961	1487648	85757952
diamond-chain/256/heavy	emission_exclusive	2021742	44460119	648367	85757952
diamond-chain/256/heavy	serialization	70978	4775489	2097152	85757952
diamond-chain/256/heavy	combined	2146880	57748890	3453077	85757952
diamond-chain/1024/base	ir	48419	3900447	2703129	85757952
diamond-chain/1024/base	cfg	31422	62804111	23054624	85757952
diamond-chain/1024/base	emission_exclusive	3651396	58684438	1373357	85757952
diamond-chain/1024/base	serialization	282946	5863533	2097152	85757952
diamond-chain/1024/base	combined	4014183	131252529	24482787	85757952
diamond-chain/1024/light	ir	54904	4183009	2967258	85757952
diamond-chain/1024/light	cfg	33470	62965392	23054624	85757952
diamond-chain/1024/light	emission_exclusive	3967243	63129985	1367682	85757952
diamond-chain/1024/light	serialization	282946	5857869	2097152	85757952
diamond-chain/1024/light	combined	4338563	136136255	24512999	85757952
diamond-chain/1024/heavy	ir	154232	14714882	10076923	85757952
diamond-chain/1024/heavy	cfg	64190	65384593	23054624	85757952
diamond-chain/1024/heavy	emission_exclusive	8079364	177746698	2586884	85757952
diamond-chain/1024/heavy	serialization	282948	19081271	8388608	85757952
diamond-chain/1024/heavy	combined	8580734	276927444	28111848	85757952
fan-in/64/base	ir	3035	243042	169315	85757952
fan-in/64/base	cfg	1784	312321	120044	85757952
fan-in/64/base	emission_exclusive	373258	8604845	231955	85757952
fan-in/64/base	serialization	23502	433675	131072	85757952
fan-in/64/base	combined	401579	9593883	324978	85757952
fan-in/256/base	ir	12144	978787	682323	85757952
fan-in/256/base	cfg	7046	3758073	1733228	85757952
fan-in/256/base	emission_exclusive	2687115	70399690	971045	85757952
fan-in/256/base	serialization	169875	2040148	524288	85757952
fan-in/256/base	combined	2876180	77176698	2093817	85757952
fan-in/1024/base	ir	48575	3929268	2733659	85757952
fan-in/1024/base	cfg	28054	55142081	26986604	85757952
fan-in/1024/base	emission_exclusive	19558320	574182579	3101043	85757952
fan-in/1024/base	serialization	520489	7222939	2097152	85757952
fan-in/1024/base	combined	20155438	640476867	28425180	85757952
nested-loop/64/base	ir	3028	240359	167767	85757952
nested-loop/64/base	cfg	1710	507177	119256	85757952
nested-loop/64/base	emission_exclusive	157413	2749393	54254	85757952
nested-loop/64/base	serialization	13198	348803	131072	85757952
nested-loop/64/base	combined	175349	3845732	223364	85757952
nested-loop/256/base	ir	12105	966536	674855	85757952
nested-loop/256/base	cfg	6654	7035137	1729560	85757952
nested-loop/256/base	emission_exclusive	605844	10579866	202691	85757952
nested-loop/256/base	serialization	48528	1356497	524288	85757952
nested-loop/256/base	combined	673131	19938036	2087448	85757952
nested-loop/1024/base	ir	48407	3878737	2702503	85757952
nested-loop/1024/base	cfg	26386	108348985	26971416	85757952
nested-loop/1024/base	emission_exclusive	2399508	41935632	796916	85757952
nested-loop/1024/base	serialization	189842	5387591	2097152	85757952
nested-loop/1024/base	combined	2664143	159550945	28398843	85757952
multi-exit/64/base	ir	3014	242868	169285	85757952
multi-exit/64/base	cfg	1925	317853	116400	85757952
multi-exit/64/base	emission_exclusive	1056234	21179160	349884	85757952
multi-exit/64/base	serialization	46594	569880	131072	85757952
multi-exit/64/base	combined	1107767	22309761	445787	85757952
multi-exit/256/base	ir	12119	977717	681397	85757952
multi-exit/256/base	cfg	7739	3784485	1718448	85757952
multi-exit/256/base	emission_exclusive	4319613	100116480	991497	85757952
multi-exit/256/base	serialization	175763	2079434	524288	85757952
multi-exit/256/base	combined	4515234	106958116	2078813	85757952
multi-exit/1024/base	ir	48549	3928190	2732725	85757952
multi-exit/1024/base	cfg	30929	55250893	26927280	85757952
multi-exit/1024/base	emission_exclusive	25280187	681184943	3127837	85757952
multi-exit/1024/base	serialization	520489	7238547	2097152	85757952
multi-exit/1024/base	combined	25880154	747602573	28365632	85757952
no-exit/64/base	ir	3036	240455	167832	85757952
no-exit/64/base	cfg	1345	216632	84740	85757952
no-exit/64/base	emission_exclusive	145241	2458282	49252	85757952
no-exit/64/base	serialization	12278	343391	131072	85757952
no-exit/64/base	combined	161900	3258760	222996	85757952
no-exit/256/base	ir	12113	966632	674920	85757952
no-exit/256/base	cfg	5289	2485936	1223492	85757952
no-exit/256/base	emission_exclusive	576964	9713330	191555	85757952
no-exit/256/base	serialization	47608	1349547	524288	85757952
no-exit/256/base	combined	641974	14515445	1581395	85757952
no-exit/1024/base	ir	48415	3878833	2702568	85757952
no-exit/1024/base	cfg	21044	35893216	19049540	85757952
no-exit/1024/base	emission_exclusive	2303807	38767095	761266	85757952
no-exit/1024/base	serialization	188922	5374495	2097152	85757952
no-exit/1024/base	combined	2562188	83913639	20476998	85757952
irreducible/64/base	ir	3032	242131	167769	85757952
irreducible/64/base	cfg	1648	226567	85084	85757952
irreducible/64/base	emission_exclusive	16409109	362912285	9142101	85757952
irreducible/64/base	serialization	2739433	16602620	1274378	85757952
irreducible/64/base	combined	19153222	379983603	9226959	85757952
irreducible/256/base	ir	12113	974548	675289	85757952
irreducible/256/base	cfg	7264	2722703	1224988	85757952
irreducible/256/base	emission_exclusive	26433389	659473240	13755544	85757952
irreducible/256/base	serialization	3945831	24608381	1848383	85757952
irreducible/256/base	combined	30398597	687778872	14095163	85757952
irreducible/1024/base	ir	48419	3911709	2704665	85757952
irreducible/1024/base	cfg	32010	39838967	19055644	85757952
irreducible/1024/base	emission_exclusive	44093496	1193195135	17463088	85757952
irreducible/1024/base	serialization	5140545	34956339	2443239	85757952
irreducible/1024/base	combined	49314470	1271902150	20485337	85757952
