case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
linear/64/base	ir	3026	240174	167625	50724864
linear/64/base	cfg	578	304344	119680	50724864
linear/64/base	emission_exclusive	141278	2386954	58722	50724864
linear/64/base	serialization	12094	341915	131072	50724864
linear/64/base	combined	156976	3273387	222639	50724864
linear/64/light	ir	3433	258352	184650	50724864
linear/64/light	cfg	578	304344	119680	50724864
linear/64/light	emission_exclusive	157333	2609602	68805	50724864
linear/64/light	serialization	12094	341531	131072	50724864
linear/64/light	combined	173438	3513829	224337	50724864
linear/64/heavy	ir	9640	916241	628651	51642368
linear/64/heavy	cfg	578	304344	119680	51642368
linear/64/heavy	emission_exclusive	329936	8399972	220006	51642368
linear/64/heavy	serialization	12096	1167973	524288	51642368
linear/64/heavy	combined	352250	10788530	862487	51642368
linear/256/base	ir	12103	966351	674713	52883456
linear/256/base	cfg	2192	4461400	1731712	52883456
linear/256/base	emission_exclusive	559941	9415827	230876	52883456
linear/256/base	serialization	47424	1346537	524288	52883456
linear/256/base	combined	621660	16190115	2089531	52883456
linear/256/light	ir	13724	1036945	740698	52883456
linear/256/light	cfg	2192	4461400	1731712	52883456
linear/256/light	emission_exclusive	625011	10326278	271199	52883456
linear/256/light	serialization	47424	1345097	524288	52883456
linear/256/light	combined	688351	17169720	2097087	52883456
linear/256/heavy	ir	38556	3669938	2518139	55525376
linear/256/heavy	cfg	2192	4461400	1731712	55525376
linear/256/heavy	emission_exclusive	1311804	33448939	876000	55525376
linear/256/heavy	serialization	47426	4650931	2097152	55525376
linear/256/heavy	combined	1399978	46231208	3449847	55525376
linear/1024/base	ir	48405	3878552	2702361	79892480
linear/1024/base	cfg	8608	69749632	26980480	79892480
linear/1024/base	emission_exclusive	2234559	37565157	919486	79892480
linear/1024/base	serialization	188738	5365343	2097152	79892480
linear/1024/base	combined	2480310	116558684	28407838	79892480
linear/1024/light	ir	54890	4161114	2966490	80207872
linear/1024/light	cfg	8608	69749632	26980480	80207872
linear/1024/light	emission_exclusive	2495684	41228048	1080785	80207872
linear/1024/light	serialization	188738	5359679	2097152	80207872
linear/1024/light	combined	2747920	120498473	28438066	80207872
linear/1024/heavy	ir	154218	14692987	10076155	85667840
linear/1024/heavy	cfg	8608	69749632	26980480	85667840
linear/1024/heavy	emission_exclusive	5239373	133696914	3499986	85667840
linear/1024/heavy	serialization	188740	18583081	8388608	85667840
linear/1024/heavy	combined	5590939	236722614	32036915	85667840
diamond-chain/64/base	ir	3032	241429	167673	85667840
diamond-chain/64/base	cfg	810	275464	104864	85667840
diamond-chain/64/base	emission_exclusive	231463	3769411	87320	85667840
diamond-chain/64/base	serialization	17982	373065	131072	85667840
diamond-chain/64/base	combined	253287	4659369	223469	85667840
diamond-chain/64/light	ir	3439	259607	184698	85667840
diamond-chain/64/light	cfg	810	275464	104864	85667840
diamond-chain/64/light	emission_exclusive	250929	4049228	86925	85667840
diamond-chain/64/light	serialization	17982	372681	131072	85667840
diamond-chain/64/light	combined	273160	4956980	225167	85667840
diamond-chain/64/heavy	ir	9646	917496	628699	85667840
diamond-chain/64/heavy	cfg	810	275464	104864	85667840
diamond-chain/64/heavy	emission_exclusive	510364	11366246	220340	85667840
diamond-chain/64/heavy	serialization	17984	1199123	524288	85667840
diamond-chain/64/heavy	combined	538804	13758329	863317	85667840
diamond-chain/256/base	ir	12113	971734	674905	85667840
diamond-chain/256/base	cfg	3564	3979528	1487648	85667840
diamond-chain/256/base	emission_exclusive	918532	14916279	344408	85667840
diamond-chain/256/base	serialization	70976	1471095	524288	85667840
diamond-chain/256/base	combined	1005185	21338636	1845696	85667840
diamond-chain/256/light	ir	13734	1042328	740890	85667840
diamond-chain/256/light	cfg	3564	3979528	1487648	85667840
diamond-chain/256/light	emission_exclusive	997683	16061163	342957	85667840
diamond-chain/256/light	serialization	70976	1469655	524288	85667840
diamond-chain/256/light	combined	1085957	22552674	1853252	85667840
diamond-chain/256/heavy	ir	38566	3675321	2518331	85667840
diamond-chain/256/heavy	cfg	3564	3979528	1487648	85667840
diamond-chain/256/heavy	emission_exclusive	2033772	45318552	877246	85667840
diamond-chain/256/heavy	serialization	70978	4775489	2097152	85667840
diamond-chain/256/heavy	combined	2146880	57748890	3453077	85667840
diamond-chain/1024/base	ir	48419	3900447	2703129	85667840
diamond-chain/1024/base	cfg	16064	61950768	23054624	85667840
diamond-chain/1024/base	emission_exclusive	3666754	59537781	1373357	85667840
diamond-chain/1024/base	serialization	282946	5863533	2097152	85667840
diamond-chain/1024/base	combined	4014183	131252529	24482787	85667840
diamond-chain/1024/light	ir	54904	4183009	2967258	85667840
diamond-chain/1024/light	cfg	16064	61950768	23054624	85667840
diamond-chain/1024/light	emission_exclusive	3984649	64144609	1367682	85667840
diamond-chain/1024/light	serialization	282946	5857869	2097152	85667840
diamond-chain/1024/light	combined	4338563	136136255	24512999	85667840
diamond-chain/1024/heavy	ir	154232	14714882	10076923	85667840
